Time,Channel A,Channel B
(s),(mV),(mV)

0.00000000,115.87880000,134.95280000
0.00016384,137.62320000,139.33220000
0.00032768,146.30570000,143.71170000
0.00049152,159.35240000,148.09100000
0.00065536,150.65460000,148.09100000
0.00081920,155.00350000,143.71170000
0.00098304,155.00350000,152.47050000
0.00114688,176.74790000,152.47050000
0.00131072,137.62320000,152.47050000
0.00147456,150.65460000,156.84990000
0.00163840,150.65460000,156.84990000
0.00180224,124.57650000,156.84990000
0.00196608,128.92540000,152.47050000
0.00212992,128.92540000,156.84990000
0.00229376,124.57650000,156.84990000
0.00245760,124.57650000,165.60870000
0.00262144,159.35240000,161.22930000
0.00278528,168.05020000,169.98810000
0.00294912,150.65460000,165.60870000
0.00311296,176.74790000,169.98810000
0.00327680,150.65460000,169.98810000
0.00344064,155.00350000,178.73160000
0.00360448,172.39900000,169.98810000
0.00376832,181.09680000,174.35220000
0.00393216,185.44570000,178.73160000
0.00409600,150.65460000,178.73160000
0.00425984,185.44570000,183.11100000
0.00442368,176.74790000,191.86990000
0.00458752,163.70130000,183.11100000
0.00475136,185.44570000,178.73160000
0.00491520,146.30570000,187.49040000
0.00507904,185.44570000,191.86990000
0.00524288,159.35240000,187.49040000
0.00540672,163.70130000,196.24930000
0.00557056,155.00350000,196.24930000
0.00573440,155.00350000,196.24930000
0.00589824,155.00350000,205.00810000
0.00606208,155.00350000,200.62870000
0.00622592,172.39900000,200.62870000
0.00638976,172.39900000,200.62870000
0.00655360,168.05020000,213.76690000
0.00671744,159.35240000,205.00810000
0.00688128,150.65460000,200.62870000
0.00704512,172.39900000,209.38750000
0.00720896,159.35240000,213.76690000
0.00737280,155.00350000,213.76690000
0.00753664,181.09680000,218.14630000
0.00770048,176.74790000,218.14630000
0.00786432,155.00350000,222.52570000
0.00802816,181.09680000,218.14630000
0.00819200,198.49240000,222.52570000
0.00835584,194.14350000,222.52570000
0.00851968,176.74790000,226.90510000
0.00868352,181.09680000,218.14630000
0.00884736,181.09680000,231.26930000
0.00901120,159.35240000,226.90510000
0.00917504,155.00350000,226.90510000
0.00933888,155.00350000,235.64870000
0.00950272,168.05020000,235.64870000
0.00966656,155.00350000,235.64870000
0.00983040,120.22770000,231.26930000
0.00999424,107.18100000,235.64870000
0.01015808,155.00350000,235.64870000
0.01032192,155.00350000,235.64870000
0.01048576,150.65460000,240.02810000
0.01064960,141.95680000,244.40750000
0.01081344,168.05020000,240.02810000
0.01097728,189.79460000,248.78690000
0.01114112,176.74790000,248.78690000
0.01130496,155.00350000,248.78690000
0.01146880,146.30570000,266.30450000
0.01163264,124.57650000,257.54570000
0.01179648,150.65460000,257.54570000
0.01196032,133.27430000,253.16630000
0.01212416,155.00350000,261.92510000
0.01228800,146.30570000,261.92510000
0.01245184,146.30570000,266.30450000
0.01261568,146.30570000,261.92510000
0.01277952,133.27430000,261.92510000
0.01294336,133.27430000,261.92510000
0.01310720,150.65460000,261.92510000
0.01327104,141.95680000,266.30450000
0.01343488,172.39900000,270.68390000
0.01359872,189.79460000,266.30450000
0.01376256,137.62320000,275.06330000
0.01392640,115.87880000,270.68390000
0.01409024,124.57650000,270.68390000
0.01425408,155.00350000,270.68390000
0.01441792,189.79460000,275.06330000
0.01458176,172.39900000,283.82210000
0.01474560,168.05020000,275.06330000
0.01490944,155.00350000,288.18630000
0.01507328,163.70130000,283.82210000
0.01523712,159.35240000,275.06330000
0.01540096,168.05020000,283.82210000
0.01556480,141.95680000,288.18630000
0.01572864,128.92540000,283.82210000
0.01589248,141.95680000,288.18630000
0.01605632,181.09680000,292.56570000
0.01622016,198.49240000,292.56570000
0.01638400,155.00350000,288.18630000
0.01654784,111.52990000,301.32450000
0.01671168,150.65460000,296.94510000
