Time,Channel A,Channel B
(s),(mV),(mV)

0.00000000,168.05020000,-351.00860000
0.00016384,146.30570000,-337.87040000
0.00032768,150.65460000,-346.62920000
0.00049152,150.65460000,-355.38800000
0.00065536,150.65460000,-337.87040000
0.00081920,155.00350000,-346.62920000
0.00098304,146.30570000,-355.38800000
0.00114688,159.35240000,-355.38800000
0.00131072,150.65460000,-359.76740000
0.00147456,159.35240000,-359.76740000
0.00163840,146.30570000,-342.24980000
0.00180224,155.00350000,-355.38800000
0.00196608,150.65460000,-355.38800000
0.00212992,159.35240000,-355.38800000
0.00229376,150.65460000,-359.76740000
0.00245760,155.00350000,-359.76740000
0.00262144,155.00350000,-359.76740000
0.00278528,141.95680000,-355.38800000
0.00294912,168.05020000,-359.76740000
0.00311296,137.62320000,-359.76740000
0.00327680,155.00350000,-364.14690000
0.00344064,137.62320000,-359.76740000
0.00360448,163.70130000,-359.76740000
0.00376832,137.62320000,-359.76740000
0.00393216,150.65460000,-364.14690000
0.00409600,155.00350000,-359.76740000
0.00425984,137.62320000,-355.38800000
0.00442368,168.05020000,-364.14690000
0.00458752,137.62320000,-368.52620000
0.00475136,163.70130000,-364.14690000
0.00491520,159.35240000,-359.76740000
0.00507904,137.62320000,-368.52620000
0.00524288,163.70130000,-359.76740000
0.00540672,150.65460000,-368.52620000
0.00557056,150.65460000,-364.14690000
0.00573440,176.74790000,-372.90560000
0.00589824,141.95680000,-372.90560000
0.00606208,155.00350000,-359.76740000
0.00622592,163.70130000,-368.52620000
0.00638976,133.27430000,-368.52620000
0.00655360,146.30570000,-364.14690000
0.00671744,163.70130000,-359.76740000
0.00688128,146.30570000,-364.14690000
0.00704512,155.00350000,-364.14690000
0.00720896,163.70130000,-377.28500000
0.00737280,150.65460000,-372.90560000
0.00753664,133.27430000,-368.52620000
0.00770048,168.05020000,-364.14690000
0.00786432,168.05020000,-368.52620000
0.00802816,137.62320000,-372.90560000
0.00819200,146.30570000,-368.52620000
0.00835584,172.39900000,-377.28500000
0.00851968,150.65460000,-368.52620000
0.00868352,124.57650000,-377.28500000
0.00884736,155.00350000,-372.90560000
0.00901120,168.05020000,-368.52620000
0.00917504,155.00350000,-372.90560000
0.00933888,120.22770000,-368.52620000
0.00950272,150.65460000,-364.14690000
0.00966656,176.74790000,-372.90560000
0.00983040,163.70130000,-368.52620000
0.00999424,128.92540000,-372.90560000
0.01015808,141.95680000,-377.28500000
0.01032192,168.05020000,-377.28500000
0.01048576,168.05020000,-372.90560000
0.01064960,146.30570000,-372.90560000
0.01081344,133.27430000,-377.28500000
0.01097728,141.95680000,-368.52620000
0.01114112,168.05020000,-372.90560000
0.01130496,181.09680000,-372.90560000
0.01146880,168.05020000,-377.28500000
0.01163264,141.95680000,-368.52620000
0.01179648,120.22770000,-368.52620000
0.01196032,133.27430000,-377.28500000
0.01212416,155.00350000,-381.66450000
0.01228800,172.39900000,-377.28500000
0.01245184,168.05020000,-368.52620000
0.01261568,155.00350000,-386.04390000
0.01277952,141.95680000,-368.52620000
0.01294336,133.27430000,-377.28500000
0.01310720,137.62320000,-381.66450000
0.01327104,141.95680000,-368.52620000
0.01343488,155.00350000,-372.90560000
0.01359872,168.05020000,-377.28500000
0.01376256,168.05020000,-372.90560000
0.01392640,168.05020000,-377.28500000
0.01409024,168.05020000,-368.52620000
0.01425408,172.39900000,-372.90560000
0.01441792,150.65460000,-381.66450000
0.01458176,155.00350000,-372.90560000
0.01474560,141.95680000,-372.90560000
0.01490944,137.62320000,-372.90560000
0.01507328,133.27430000,-372.90560000
0.01523712,128.92540000,-377.28500000
0.01540096,133.27430000,-377.28500000
0.01556480,120.22770000,-368.52620000
0.01572864,120.22770000,-372.90560000
