Time,Channel A,Channel B
(ms),(mV),(mV)

-500.36734343,138.29770000,301.32450000
-500.20350343,138.29770000,305.70390000
-500.03966343,138.29770000,305.70390000
-499.87582343,138.29770000,305.70390000
-499.71198343,141.78290000,305.70390000
-499.54814343,138.29770000,301.32450000
-499.38430343,138.29770000,301.32450000
-499.22046343,153.96590000,301.32450000
-499.05662343,138.29770000,310.08330000
-498.89278343,138.29770000,301.32450000
-498.72894344,122.62950000,305.70390000
-498.56510344,136.55810000,310.08330000
-498.40126344,134.81860000,301.32450000
-498.23742344,136.55810000,305.70390000
-498.07358344,140.03720000,301.32450000
-497.90974344,140.03720000,301.32450000
-497.74590344,138.29770000,301.32450000
-497.58206344,138.29770000,296.94510000
-497.41822344,145.26200000,305.70390000
-497.25438344,136.55810000,292.56570000
-497.09054345,138.29770000,305.70390000
-496.92670345,138.29770000,301.32450000
-496.76286345,136.55810000,292.56570000
-496.59902345,138.29770000,305.70390000
-496.43518345,140.03720000,292.56570000
-496.27134345,138.29770000,310.08330000
-496.10750345,129.59380000,292.56570000
-495.94366345,136.55810000,301.32450000
-495.77982345,138.29770000,292.56570000
-495.61598345,140.03720000,296.94510000
-495.45214346,136.55810000,292.56570000
-495.28830346,143.52240000,292.56570000
-495.12446346,138.29770000,283.82210000
-494.96062346,140.03720000,288.18630000
-494.79678346,131.33340000,283.82210000
-494.63294346,138.29770000,292.56570000
-494.46910346,138.29770000,301.32450000
-494.30526346,124.36900000,292.56570000
-494.14142346,138.29770000,288.18630000
-493.97758346,138.29770000,292.56570000
-493.81374347,138.29770000,292.56570000
-493.64990347,138.29770000,292.56570000
-493.48606347,129.59380000,288.18630000
-493.32222347,133.07900000,279.44270000
-493.15838347,136.55810000,288.18630000
-492.99454347,136.55810000,292.56570000
-492.83070347,141.78290000,288.18630000
-492.66686347,138.29770000,292.56570000
-492.50302347,134.81860000,296.94510000
-492.33918347,136.55810000,275.06330000
-492.17534348,129.59380000,288.18630000
-492.01150348,138.29770000,283.82210000
-491.84766348,141.78290000,292.56570000
-491.68382348,138.29770000,283.82210000
-491.51998348,141.78290000,283.82210000
-491.35614348,140.03720000,283.82210000
-491.19230348,127.85420000,275.06330000
-491.02846348,143.52240000,283.82210000
-490.86462348,136.55810000,275.06330000
-490.70078348,138.29770000,283.82210000
-490.53694349,138.29770000,279.44270000
-490.37310349,140.03720000,275.06330000
-490.20926349,131.33340000,279.44270000
-490.04542349,138.29770000,275.06330000
-489.88158349,133.07900000,266.30450000
-489.71774349,136.55810000,275.06330000
-489.55390349,131.33340000,275.06330000
-489.39006349,138.29770000,270.68390000
-489.22622349,133.07900000,275.06330000
-489.06238349,136.55810000,275.06330000
-488.89854350,124.36900000,270.68390000
-488.73470350,138.29770000,275.06330000
-488.57086350,133.07900000,270.68390000
-488.40702350,138.29770000,270.68390000
-488.24318350,131.33340000,275.06330000
-488.07934350,136.55810000,270.68390000
-487.91550350,136.55810000,275.06330000
-487.75166350,140.03720000,270.68390000
-487.58782350,140.03720000,275.06330000
-487.42398350,138.29770000,266.30450000
-487.26014351,141.78290000,266.30450000
-487.09630351,140.03720000,266.30450000
-486.93246351,133.07900000,261.92510000
-486.76862351,136.55810000,266.30450000
-486.60478351,136.55810000,270.68390000
-486.44094351,138.29770000,266.30450000
-486.27710351,138.29770000,266.30450000
-486.11326351,129.59380000,266.30450000
-485.94942351,136.55810000,266.30450000
-485.78558351,136.55810000,261.92510000
-485.62174352,129.59380000,257.54570000
-485.45790352,136.55810000,266.30450000
-485.29406352,138.29770000,270.68390000
-485.13022352,117.40470000,257.54570000
-484.96638352,140.03720000,253.16630000
-484.80254352,136.55810000,261.92510000
-484.63870352,131.33340000,257.54570000
-484.47486352,131.33340000,257.54570000
-484.31102352,134.81860000,253.16630000
-484.14718352,136.55810000,261.92510000
-483.98334353,140.03720000,253.16630000
-483.81950353,138.29770000,261.92510000
-483.65566353,136.55810000,253.16630000
-483.49182353,138.29770000,257.54570000
-483.32798353,140.03720000,253.16630000
-483.16414353,131.33340000,257.54570000
-483.00030353,136.55810000,253.16630000
-482.83646353,143.52240000,257.54570000
-482.67262353,138.29770000,257.54570000
-482.50878353,138.29770000,261.92510000
-482.34494354,138.29770000,248.78690000
-482.18110354,141.78290000,253.16630000
-482.01726354,127.85420000,261.92510000
-481.85342354,136.55810000,248.78690000
-481.68958354,138.29770000,248.78690000
-481.52574354,140.03720000,257.54570000
-481.36190354,136.55810000,253.16630000
-481.19806354,141.78290000,248.78690000
-481.03422354,140.03720000,244.40750000
-480.87038354,136.55810000,240.02810000
-480.70654355,138.29770000,240.02810000
-480.54270355,138.29770000,248.78690000
-480.37886355,131.33340000,244.40750000
-480.21502355,136.55810000,240.02810000
-480.05118355,138.29770000,248.78690000
-479.88734355,129.59380000,240.02810000
-479.72350355,150.48680000,235.64870000
-479.55966355,145.26200000,235.64870000
-479.39582355,136.55810000,240.02810000
-479.23198355,138.29770000,240.02810000
-479.06814356,143.52240000,235.64870000
-478.90430356,140.03720000,235.64870000
-478.74046356,134.81860000,240.02810000
-478.57662356,136.55810000,240.02810000
-478.41278356,120.88990000,244.40750000
-478.24894356,136.55810000,240.02810000
-478.08510356,152.22630000,240.02810000
-477.92126356,140.03720000,235.64870000
-477.75742356,127.85420000,235.64870000
-477.59358356,133.07900000,235.64870000
-477.42974357,136.55810000,235.64870000
-477.26590357,138.29770000,226.90510000
-477.10206357,138.29770000,231.26930000
-476.93822357,138.29770000,235.64870000
-476.77438357,138.29770000,235.64870000
-476.61054357,138.29770000,231.26930000
-476.44670357,134.81860000,226.90510000
-476.28286357,140.03720000,231.26930000
-476.11902357,138.29770000,231.26930000
-475.95518357,134.81860000,226.90510000
-475.79134358,138.29770000,222.52570000
-475.62750358,140.03720000,235.64870000
-475.46366358,138.29770000,226.90510000
-475.29982358,136.55810000,222.52570000
-475.13598358,141.78290000,226.90510000
-474.97214358,140.03720000,226.90510000
-474.80830358,138.29770000,222.52570000
-474.64446358,138.29770000,218.14630000
-474.48062358,138.29770000,222.52570000
-474.31678358,136.55810000,222.52570000
-474.15294359,138.29770000,231.26930000
