Time,Channel A,Channel B
(ms),(mV),(mV)

-500.36734343,120.22770000,-372.90560000
-500.20350343,107.18100000,-372.90560000
-500.03966343,98.48322000,-372.90560000
-499.87582343,89.78545000,-377.28500000
-499.71198343,85.43656000,-377.28500000
-499.54814343,85.43656000,-377.28500000
-499.38430343,85.43656000,-377.28500000
-499.22046343,89.78545000,-372.90560000
-499.05662343,94.13434000,-381.66450000
-498.89278343,102.83210000,-372.90560000
-498.72894344,111.52990000,-381.66450000
-498.56510344,124.57650000,-368.52620000
-498.40126344,141.95680000,-372.90560000
-498.23742344,155.00350000,-381.66450000
-498.07358344,168.05020000,-377.28500000
-497.90974344,176.74790000,-368.52620000
-497.74590344,185.44570000,-372.90560000
-497.58206344,189.79460000,-377.28500000
-497.41822344,194.14350000,-368.52620000
-497.25438344,194.14350000,-377.28500000
-497.09054345,194.14350000,-368.52620000
-496.92670345,189.79460000,-381.66450000
-496.76286345,185.44570000,-372.90560000
-496.59902345,181.09680000,-372.90560000
-496.43518345,172.39900000,-368.52620000
-496.27134345,168.05020000,-377.28500000
-496.10750345,159.35240000,-368.52620000
-495.94366345,155.00350000,-377.28500000
-495.77982345,146.30570000,-368.52620000
-495.61598345,141.95680000,-377.28500000
-495.45214346,137.62320000,-372.90560000
-495.28830346,128.92540000,-368.52620000
-495.12446346,124.57650000,-372.90560000
-494.96062346,120.22770000,-368.52620000
-494.79678346,115.87880000,-368.52620000
-494.63294346,115.87880000,-377.28500000
-494.46910346,111.52990000,-364.14690000
-494.30526346,111.52990000,-377.28500000
-494.14142346,111.52990000,-364.14690000
-493.97758346,115.87880000,-364.14690000
-493.81374347,115.87880000,-381.66450000
-493.64990347,120.22770000,-377.28500000
-493.48606347,120.22770000,-377.28500000
-493.32222347,120.22770000,-372.90560000
-493.15838347,124.57650000,-372.90560000
-492.99454347,124.57650000,-372.90560000
-492.83070347,124.57650000,-377.28500000
-492.66686347,128.92540000,-377.28500000
-492.50302347,133.27430000,-368.52620000
-492.33918347,137.62320000,-372.90560000
-492.17534348,141.95680000,-368.52620000
-492.01150348,150.65460000,-368.52620000
-491.84766348,159.35240000,-372.90560000
-491.68382348,163.70130000,-372.90560000
-491.51998348,172.39900000,-372.90560000
-491.35614348,176.74790000,-377.28500000
-491.19230348,181.09680000,-368.52620000
-491.02846348,185.44570000,-364.14690000
-490.86462348,189.79460000,-368.52620000
-490.70078348,189.79460000,-372.90560000
-490.53694349,189.79460000,-372.90560000
-490.37310349,194.14350000,-359.76740000
-490.20926349,194.14350000,-372.90560000
-490.04542349,189.79460000,-364.14690000
-489.88158349,189.79460000,-381.66450000
-489.71774349,185.44570000,-377.28500000
-489.55390349,181.09680000,-372.90560000
-489.39006349,172.39900000,-372.90560000
-489.22622349,168.05020000,-381.66450000
-489.06238349,159.35240000,-372.90560000
-488.89854350,150.65460000,-364.14690000
-488.73470350,137.62320000,-372.90560000
-488.57086350,133.27430000,-364.14690000
-488.40702350,120.22770000,-368.52620000
-488.24318350,111.52990000,-372.90560000
-488.07934350,102.83210000,-368.52620000
-487.91550350,98.48322000,-377.28500000
-487.75166350,94.13434000,-368.52620000
-487.58782350,85.43656000,-377.28500000
-487.42398350,85.43656000,-372.90560000
-487.26014351,85.43656000,-372.90560000
-487.09630351,85.43656000,-372.90560000
-486.93246351,85.43656000,-364.14690000
-486.76862351,94.13434000,-372.90560000
-486.60478351,102.83210000,-368.52620000
-486.44094351,111.52990000,-372.90560000
-486.27710351,124.57650000,-372.90560000
-486.11326351,137.62320000,-368.52620000
-485.94942351,150.65460000,-368.52620000
-485.78558351,163.70130000,-364.14690000
-485.62174352,172.39900000,-368.52620000
-485.45790352,181.09680000,-364.14690000
-485.29406352,189.79460000,-368.52620000
-485.13022352,194.14350000,-364.14690000
-484.96638352,194.14350000,-364.14690000
-484.80254352,189.79460000,-372.90560000
-484.63870352,181.09680000,-359.76740000
-484.47486352,172.39900000,-372.90560000
-484.31102352,159.35240000,-372.90560000
-484.14718352,146.30570000,-368.52620000
-483.98334353,128.92540000,-368.52620000
-483.81950353,115.87880000,-364.14690000
-483.65566353,98.48322000,-364.14690000
-483.49182353,89.78545000,-368.52620000
-483.32798353,85.43656000,-368.52620000
-483.16414353,85.43656000,-364.14690000
-483.00030353,94.13434000,-364.14690000
-482.83646353,107.18100000,-359.76740000
-482.67262353,124.57650000,-359.76740000
-482.50878353,141.95680000,-364.14690000
-482.34494354,159.35240000,-368.52620000
-482.18110354,172.39900000,-355.38800000
-482.01726354,185.44570000,-372.90560000
-481.85342354,194.14350000,-368.52620000
-481.68958354,194.14350000,-368.52620000
-481.52574354,185.44570000,-368.52620000
-481.36190354,168.05020000,-364.14690000
-481.19806354,146.30570000,-364.14690000
-481.03422354,120.22770000,-364.14690000
-480.87038354,102.83210000,-368.52620000
-480.70654355,89.78545000,-364.14690000
-480.54270355,85.43656000,-364.14690000
-480.37886355,89.78545000,-368.52620000
-480.21502355,102.83210000,-359.76740000
-480.05118355,124.57650000,-355.38800000
-479.88734355,150.65460000,-355.38800000
-479.72350355,172.39900000,-364.14690000
-479.55966355,185.44570000,-359.76740000
-479.39582355,189.79460000,-368.52620000
-479.23198355,189.79460000,-368.52620000
-479.06814356,172.39900000,-364.14690000
-478.90430356,155.00350000,-364.14690000
-478.74046356,128.92540000,-359.76740000
-478.57662356,102.83210000,-368.52620000
-478.41278356,89.78545000,-359.76740000
-478.24894356,85.43656000,-355.38800000
-478.08510356,98.48322000,-355.38800000
-477.92126356,124.57650000,-355.38800000
-477.75742356,155.00350000,-359.76740000
-477.59358356,176.74790000,-359.76740000
-477.42974357,189.79460000,-359.76740000
-477.26590357,189.79460000,-368.52620000
-477.10206357,172.39900000,-355.38800000
-476.93822357,146.30570000,-355.38800000
-476.77438357,115.87880000,-359.76740000
-476.61054357,94.13434000,-351.00860000
-476.44670357,85.43656000,-359.76740000
-476.28286357,94.13434000,-364.14690000
-476.11902357,120.22770000,-355.38800000
-475.95518357,155.00350000,-364.14690000
-475.79134358,181.09680000,-359.76740000
-475.62750358,189.79460000,-351.00860000
-475.46366358,185.44570000,-355.38800000
