Time,Channel A,Channel B
(ms),(mV),(mV)

-500.36734343,176.74790000,371.37970000
-500.20350343,168.05020000,367.00030000
-500.03966343,155.00350000,367.00030000
-499.87582343,137.62320000,375.75910000
-499.71198343,120.22770000,367.00030000
-499.54814343,102.83210000,375.75910000
-499.38430343,85.43656000,371.37970000
-499.22046343,68.04102000,375.75910000
-499.05662343,50.64546000,371.37970000
-498.89278343,37.59880000,375.75910000
-498.72894344,28.90103000,367.00030000
-498.56510344,28.90103000,367.00030000
-498.40126344,37.59880000,375.75910000
-498.23742344,54.99435000,367.00030000
-498.07358344,81.08768000,371.37970000
-497.90974344,107.18100000,367.00030000
-497.74590344,137.62320000,375.75910000
-497.58206344,172.39900000,367.00030000
-497.41822344,202.84120000,375.75910000
-497.25438344,224.58570000,375.75910000
-497.09054345,241.98120000,375.75910000
-496.92670345,246.33010000,367.00030000
-496.76286345,241.98120000,371.37970000
-496.59902345,224.58570000,367.00030000
-496.43518345,189.79460000,371.37970000
-496.27134345,159.35240000,375.75910000
-496.10750345,120.22770000,367.00030000
-495.94366345,85.43656000,362.62090000
-495.77982345,50.64546000,362.62090000
-495.61598345,33.24991000,367.00030000
-495.45214346,28.90103000,367.00030000
-495.28830346,37.59880000,362.62090000
-495.12446346,63.69213000,371.37970000
-494.96062346,102.83210000,367.00030000
-494.79678346,141.95680000,367.00030000
-494.63294346,185.44570000,367.00030000
-494.46910346,220.23680000,362.62090000
-494.30526346,241.98120000,358.24150000
-494.14142346,250.67900000,362.62090000
-493.97758346,246.33010000,367.00030000
-493.81374347,224.58570000,362.62090000
-493.64990347,198.49240000,375.75910000
-493.48606347,163.70130000,367.00030000
-493.32222347,124.57650000,367.00030000
-493.15838347,85.43656000,362.62090000
-492.99454347,54.99435000,375.75910000
-492.83070347,33.24991000,367.00030000
-492.66686347,24.55214000,367.00030000
-492.50302347,28.90103000,375.75910000
-492.33918347,46.29657000,362.62090000
-492.17534348,68.04102000,371.37970000
-492.01150348,98.48322000,358.24150000
-491.84766348,137.62320000,362.62090000
-491.68382348,172.39900000,362.62090000
-491.51998348,207.19010000,358.24150000
-491.35614348,233.28350000,358.24150000
-491.19230348,250.67900000,362.62090000
-491.02846348,241.98120000,367.00030000
-490.86462348,224.58570000,353.86210000
-490.70078348,189.79460000,362.62090000
-490.53694349,155.00350000,367.00030000
-490.37310349,111.52990000,367.00030000
-490.20926349,72.38989000,362.62090000
-490.04542349,41.94769000,362.62090000
-489.88158349,33.24991000,358.24150000
-489.71774349,41.94769000,362.62090000
-489.55390349,72.38989000,367.00030000
-489.39006349,120.22770000,367.00030000
-489.22622349,172.39900000,367.00030000
-489.06238349,220.23680000,367.00030000
-488.89854350,241.98120000,362.62090000
-488.73470350,237.63240000,362.62090000
-488.57086350,202.84120000,362.62090000
-488.40702350,146.30570000,358.24150000
-488.24318350,85.43656000,349.48270000
-488.07934350,37.59880000,349.48270000
-487.91550350,33.24991000,371.37970000
-487.75166350,68.04102000,358.24150000
-487.58782350,133.27430000,362.62090000
-487.42398350,194.14350000,345.10330000
-487.26014351,237.63240000,345.10330000
-487.09630351,241.98120000,358.24150000
-486.93246351,207.19010000,353.86210000
-486.76862351,146.30570000,362.62090000
-486.60478351,81.08768000,349.48270000
-486.44094351,37.59880000,353.86210000
-486.27710351,41.94769000,362.62090000
-486.11326351,98.48322000,353.86210000
-485.94942351,172.39900000,358.24150000
-485.78558351,228.93460000,358.24150000
-485.62174352,241.98120000,353.86210000
-485.45790352,207.19010000,353.86210000
-485.29406352,146.30570000,362.62090000
-485.13022352,81.08768000,358.24150000
-484.96638352,37.59880000,358.24150000
-484.80254352,37.59880000,353.86210000
-484.63870352,81.08768000,362.62090000
-484.47486352,155.00350000,353.86210000
-484.31102352,215.88790000,349.48270000
-484.14718352,246.33010000,358.24150000
-483.98334353,224.58570000,353.86210000
-483.81950353,168.05020000,362.62090000
-483.65566353,102.83210000,353.86210000
-483.49182353,46.29657000,358.24150000
-483.32798353,33.24991000,358.24150000
-483.16414353,59.34324000,358.24150000
-483.00030353,124.57650000,358.24150000
-482.83646353,189.79460000,353.86210000
-482.67262353,237.63240000,358.24150000
-482.50878353,241.98120000,345.10330000
-482.34494354,207.19010000,345.10330000
-482.18110354,146.30570000,345.10330000
-482.01726354,81.08768000,349.48270000
-481.85342354,37.59880000,349.48270000
-481.68958354,37.59880000,353.86210000
-481.52574354,76.73878000,358.24150000
-481.36190354,141.95680000,345.10330000
-481.19806354,207.19010000,353.86210000
-481.03422354,241.98120000,349.48270000
-480.87038354,228.93460000,353.86210000
-480.70654355,181.09680000,345.10330000
-480.54270355,111.52990000,345.10330000
-480.37886355,50.64546000,353.86210000
-480.21502355,33.24991000,349.48270000
-480.05118355,68.04102000,345.10330000
-479.88734355,137.62320000,345.10330000
-479.72350355,211.53900000,349.48270000
-479.55966355,241.98120000,345.10330000
-479.39582355,220.23680000,345.10330000
-479.23198355,150.65460000,345.10330000
-479.06814356,76.73878000,340.72390000
-478.90430356,33.24991000,345.10330000
-478.74046356,68.04102000,345.10330000
-478.57662356,146.30570000,340.72390000
-478.41278356,224.58570000,345.10330000
-478.24894356,241.98120000,345.10330000
-478.08510356,189.79460000,345.10330000
-477.92126356,107.18100000,331.98030000
-477.75742356,46.29657000,340.72390000
-477.59358356,50.64546000,340.72390000
-477.42974357,128.92540000,345.10330000
-477.26590357,211.53900000,345.10330000
-477.10206357,237.63240000,340.72390000
-476.93822357,176.74790000,345.10330000
-476.77438357,89.78545000,353.86210000
-476.61054357,37.59880000,340.72390000
-476.44670357,72.38989000,345.10330000
-476.28286357,168.05020000,340.72390000
-476.11902357,233.28350000,349.48270000
-475.95518357,220.23680000,340.72390000
-475.79134358,137.62320000,336.35970000
-475.62750358,54.99435000,340.72390000
-475.46366358,46.29657000,336.35970000
-475.29982358,128.92540000,340.72390000
-475.13598358,215.88790000,336.35970000
-474.97214358,233.28350000,336.35970000
-474.80830358,159.35240000,336.35970000
-474.64446358,68.04102000,340.72390000
-474.48062358,37.59880000,331.98030000
-474.31678358,102.83210000,336.35970000
-474.15294359,194.14350000,331.98030000
