Time,Channel A,Channel B
(ms),(mV),(mV)

-500.36734343,138.29770000,126.19400000
-500.20350343,138.29770000,126.19400000
-500.03966343,133.07900000,126.19400000
-499.87582343,138.29770000,130.57340000
-499.71198343,138.29770000,126.19400000
-499.54814343,140.03720000,130.57340000
-499.38430343,140.03720000,130.57340000
-499.22046343,138.29770000,134.95280000
-499.05662343,147.00160000,139.33220000
-498.89278343,140.03720000,134.95280000
-498.72894344,143.52240000,134.95280000
-498.56510344,120.88990000,130.57340000
-498.40126344,145.26200000,130.57340000
-498.23742344,140.03720000,126.19400000
-498.07358344,138.29770000,130.57340000
-497.90974344,134.81860000,134.95280000
-497.74590344,133.07900000,134.95280000
-497.58206344,141.78290000,134.95280000
-497.41822344,131.33340000,134.95280000
-497.25438344,138.29770000,134.95280000
-497.09054345,138.29770000,134.95280000
-496.92670345,138.29770000,139.33220000
-496.76286345,138.29770000,134.95280000
-496.59902345,133.07900000,134.95280000
-496.43518345,136.55810000,143.71170000
-496.27134345,138.29770000,139.33220000
-496.10750345,138.29770000,148.09100000
-495.94366345,136.55810000,143.71170000
-495.77982345,138.29770000,152.47050000
-495.61598345,140.03720000,148.09100000
-495.45214346,140.03720000,148.09100000
-495.28830346,138.29770000,143.71170000
-495.12446346,138.29770000,148.09100000
-494.96062346,138.29770000,148.09100000
-494.79678346,138.29770000,156.84990000
-494.63294346,150.48680000,152.47050000
-494.46910346,129.59380000,152.47050000
-494.30526346,138.29770000,148.09100000
-494.14142346,115.66510000,152.47050000
-493.97758346,136.55810000,152.47050000
-493.81374347,131.33340000,152.47050000
-493.64990347,136.55810000,156.84990000
-493.48606347,138.29770000,152.47050000
-493.32222347,122.62950000,156.84990000
-493.15838347,136.55810000,156.84990000
-492.99454347,138.29770000,161.22930000
-492.83070347,138.29770000,156.84990000
-492.66686347,140.03720000,161.22930000
-492.50302347,140.03720000,161.22930000
-492.33918347,145.26200000,161.22930000
-492.17534348,138.29770000,165.60870000
-492.01150348,140.03720000,161.22930000
-491.84766348,140.03720000,165.60870000
-491.68382348,145.26200000,156.84990000
-491.51998348,138.29770000,161.22930000
-491.35614348,127.85420000,165.60870000
-491.19230348,140.03720000,165.60870000
-491.02846348,129.59380000,165.60870000
-490.86462348,136.55810000,161.22930000
-490.70078348,141.78290000,165.60870000
-490.53694349,136.55810000,169.98810000
-490.37310349,138.29770000,161.22930000
-490.20926349,140.03720000,169.98810000
-490.04542349,140.03720000,165.60870000
-489.88158349,138.29770000,169.98810000
-489.71774349,152.22630000,169.98810000
-489.55390349,141.78290000,165.60870000
-489.39006349,140.03720000,174.35220000
-489.22622349,138.29770000,169.98810000
-489.06238349,140.03720000,169.98810000
-488.89854350,138.29770000,169.98810000
-488.73470350,140.03720000,174.35220000
-488.57086350,138.29770000,178.73160000
-488.40702350,129.59380000,169.98810000
-488.24318350,131.33340000,178.73160000
-488.07934350,143.52240000,174.35220000
-487.91550350,136.55810000,178.73160000
-487.75166350,147.00160000,174.35220000
-487.58782350,143.52240000,178.73160000
-487.42398350,138.29770000,183.11100000
-487.26014351,140.03720000,183.11100000
-487.09630351,138.29770000,187.49040000
-486.93246351,138.29770000,183.11100000
-486.76862351,122.62950000,183.11100000
-486.60478351,138.29770000,183.11100000
-486.44094351,138.29770000,183.11100000
-486.27710351,138.29770000,187.49040000
-486.11326351,138.29770000,187.49040000
-485.94942351,140.03720000,183.11100000
-485.78558351,141.78290000,178.73160000
-485.62174352,131.33340000,183.11100000
-485.45790352,138.29770000,178.73160000
-485.29406352,138.29770000,187.49040000
-485.13022352,138.29770000,191.86990000
-484.96638352,157.45110000,191.86990000
-484.80254352,145.26200000,196.24930000
-484.63870352,140.03720000,196.24930000
-484.47486352,136.55810000,191.86990000
-484.31102352,138.29770000,191.86990000
-484.14718352,138.29770000,196.24930000
-483.98334353,138.29770000,191.86990000
-483.81950353,138.29770000,191.86990000
-483.65566353,138.29770000,196.24930000
-483.49182353,140.03720000,196.24930000
-483.32798353,136.55810000,200.62870000
-483.16414353,138.29770000,200.62870000
-483.00030353,138.29770000,205.00810000
-482.83646353,138.29770000,196.24930000
-482.67262353,138.29770000,191.86990000
-482.50878353,138.29770000,196.24930000
-482.34494354,133.07900000,200.62870000
-482.18110354,138.29770000,205.00810000
-482.01726354,138.29770000,205.00810000
-481.85342354,136.55810000,205.00810000
-481.68958354,138.29770000,200.62870000
-481.52574354,124.36900000,200.62870000
-481.36190354,138.29770000,205.00810000
-481.19806354,138.29770000,205.00810000
-481.03422354,136.55810000,200.62870000
-480.87038354,138.29770000,209.38750000
-480.70654355,141.78290000,218.14630000
-480.54270355,140.03720000,213.76690000
-480.37886355,120.88990000,218.14630000
-480.21502355,138.29770000,205.00810000
-480.05118355,145.26200000,205.00810000
-479.88734355,140.03720000,213.76690000
-479.72350355,138.29770000,213.76690000
-479.55966355,127.85420000,213.76690000
-479.39582355,141.78290000,213.76690000
-479.23198355,138.29770000,218.14630000
-479.06814356,138.29770000,218.14630000
-478.90430356,145.26200000,218.14630000
-478.74046356,138.29770000,213.76690000
-478.57662356,131.33340000,205.00810000
-478.41278356,138.29770000,209.38750000
-478.24894356,138.29770000,213.76690000
-478.08510356,131.33340000,218.14630000
-477.92126356,138.29770000,222.52570000
-477.75742356,140.03720000,218.14630000
-477.59358356,143.52240000,213.76690000
-477.42974357,140.03720000,226.90510000
-477.26590357,141.78290000,218.14630000
-477.10206357,138.29770000,222.52570000
-476.93822357,126.11470000,222.52570000
-476.77438357,141.78290000,226.90510000
-476.61054357,138.29770000,226.90510000
-476.44670357,133.07900000,218.14630000
-476.28286357,138.29770000,226.90510000
-476.11902357,134.81860000,218.14630000
-475.95518357,138.29770000,222.52570000
-475.79134358,138.29770000,235.64870000
-475.62750358,140.03720000,231.26930000
-475.46366358,140.03720000,231.26930000
-475.29982358,138.29770000,231.26930000
-475.13598358,138.29770000,226.90510000
-474.97214358,131.33340000,231.26930000
-474.80830358,138.29770000,226.90510000
-474.64446358,141.78290000,231.26930000
-474.48062358,138.29770000,235.64870000
-474.31678358,145.26200000,235.64870000
-474.15294359,138.29770000,231.26930000
