Time,Channel A,Channel B
(ms),(mV),(mV)

-500.36734343,143.52240000,-302.85040000
-500.20350343,134.81860000,-302.85040000
-500.03966343,129.59380000,-315.98860000
-499.87582343,140.03720000,-311.60920000
-499.71198343,140.03720000,-311.60920000
-499.54814343,134.81860000,-311.60920000
-499.38430343,136.55810000,-302.85040000
-499.22046343,140.03720000,-307.22980000
-499.05662343,148.74720000,-302.85040000
-498.89278343,141.78290000,-311.60920000
-498.72894344,140.03720000,-311.60920000
-498.56510344,140.03720000,-302.85040000
-498.40126344,134.81860000,-307.22980000
-498.23742344,145.26200000,-302.85040000
-498.07358344,140.03720000,-298.47100000
-497.90974344,140.03720000,-307.22980000
-497.74590344,140.03720000,-294.09160000
-497.58206344,150.48680000,-307.22980000
-497.41822344,157.45110000,-302.85040000
-497.25438344,134.81860000,-302.85040000
-497.09054345,127.85420000,-298.47100000
-496.92670345,145.26200000,-298.47100000
-496.76286345,143.52240000,-302.85040000
-496.59902345,140.03720000,-298.47100000
-496.43518345,127.85420000,-298.47100000
-496.27134345,145.26200000,-294.09160000
-496.10750345,138.29770000,-298.47100000
-495.94366345,138.29770000,-302.85040000
-495.77982345,124.36900000,-289.71220000
-495.61598345,129.59380000,-289.71220000
-495.45214346,143.52240000,-298.47100000
-495.28830346,138.29770000,-294.09160000
-495.12446346,134.81860000,-289.71220000
-494.96062346,138.29770000,-289.71220000
-494.79678346,141.78290000,-298.47100000
-494.63294346,133.07900000,-298.47100000
-494.46910346,134.81860000,-285.33280000
-494.30526346,138.29770000,-298.47100000
-494.14142346,138.29770000,-289.71220000
-493.97758346,138.29770000,-294.09160000
-493.81374347,140.03720000,-285.33280000
-493.64990347,133.07900000,-289.71220000
-493.48606347,140.03720000,-285.33280000
-493.32222347,143.52240000,-294.09160000
-493.15838347,150.48680000,-285.33280000
-492.99454347,141.78290000,-285.33280000
-492.83070347,141.78290000,-280.95340000
-492.66686347,150.48680000,-289.71220000
-492.50302347,143.52240000,-289.71220000
-492.33918347,126.11470000,-285.33280000
-492.17534348,126.11470000,-285.33280000
-492.01150348,143.52240000,-280.95340000
-491.84766348,141.78290000,-272.20980000
-491.68382348,138.29770000,-289.71220000
-491.51998348,138.29770000,-285.33280000
-491.35614348,145.26200000,-285.33280000
-491.19230348,155.71150000,-285.33280000
-491.02846348,141.78290000,-276.58920000
-490.86462348,138.29770000,-280.95340000
-490.70078348,143.52240000,-285.33280000
-490.53694349,145.26200000,-276.58920000
-490.37310349,140.03720000,-272.20980000
-490.20926349,140.03720000,-285.33280000
-490.04542349,145.26200000,-276.58920000
-489.88158349,145.26200000,-272.20980000
-489.71774349,134.81860000,-272.20980000
-489.55390349,138.29770000,-276.58920000
-489.39006349,140.03720000,-272.20980000
-489.22622349,140.03720000,-285.33280000
-489.06238349,140.03720000,-272.20980000
-488.89854350,147.00160000,-276.58920000
-488.73470350,141.78290000,-272.20980000
-488.57086350,140.03720000,-267.83040000
-488.40702350,140.03720000,-276.58920000
-488.24318350,145.26200000,-272.20980000
-488.07934350,152.22630000,-267.83040000
-487.91550350,117.40470000,-272.20980000
-487.75166350,140.03720000,-272.20980000
-487.58782350,140.03720000,-263.45100000
-487.42398350,129.59380000,-272.20980000
-487.26014351,143.52240000,-272.20980000
-487.09630351,153.96590000,-272.20980000
-486.93246351,145.26200000,-263.45100000
-486.76862351,117.40470000,-267.83040000
-486.60478351,134.81860000,-263.45100000
-486.44094351,140.03720000,-259.07160000
-486.27710351,120.88990000,-263.45100000
-486.11326351,136.55810000,-263.45100000
-485.94942351,145.26200000,-263.45100000
-485.78558351,129.59380000,-263.45100000
-485.62174352,138.29770000,-267.83040000
-485.45790352,140.03720000,-259.07160000
-485.29406352,141.78290000,-263.45100000
-485.13022352,129.59380000,-254.69220000
-484.96638352,136.55810000,-254.69220000
-484.80254352,143.52240000,-259.07160000
-484.63870352,140.03720000,-263.45100000
-484.47486352,138.29770000,-254.69220000
-484.31102352,145.26200000,-254.69220000
-484.14718352,141.78290000,-250.31280000
-483.98334353,140.03720000,-254.69220000
-483.81950353,138.29770000,-259.07160000
-483.65566353,150.48680000,-254.69220000
-483.49182353,129.59380000,-250.31280000
-483.32798353,138.29770000,-254.69220000
-483.16414353,140.03720000,-254.69220000
-483.00030353,145.26200000,-250.31280000
-482.83646353,140.03720000,-254.69220000
-482.67262353,140.03720000,-250.31280000
-482.50878353,148.74720000,-254.69220000
-482.34494354,153.96590000,-254.69220000
-482.18110354,136.55810000,-250.31280000
-482.01726354,138.29770000,-245.93340000
-481.85342354,145.26200000,-254.69220000
-481.68958354,127.85420000,-250.31280000
-481.52574354,138.29770000,-245.93340000
-481.36190354,150.48680000,-250.31280000
-481.19806354,138.29770000,-250.31280000
-481.03422354,141.78290000,-254.69220000
-480.87038354,115.66510000,-245.93340000
-480.70654355,138.29770000,-250.31280000
-480.54270355,136.55810000,-250.31280000
-480.37886355,131.33340000,-245.93340000
-480.21502355,141.78290000,-245.93340000
-480.05118355,136.55810000,-241.55400000
-479.88734355,129.59380000,-250.31280000
-479.72350355,148.74720000,-237.17460000
-479.55966355,141.78290000,-245.93340000
-479.39582355,140.03720000,-250.31280000
-479.23198355,145.26200000,-241.55400000
-479.06814356,141.78290000,-237.17460000
-478.90430356,140.03720000,-237.17460000
-478.74046356,138.29770000,-237.17460000
-478.57662356,141.78290000,-232.79520000
-478.41278356,138.29770000,-232.79520000
-478.24894356,136.55810000,-237.17460000
-478.08510356,140.03720000,-228.41580000
-477.92126356,138.29770000,-232.79520000
-477.75742356,134.81860000,-237.17460000
-477.59358356,140.03720000,-237.17460000
-477.42974357,140.03720000,-232.79520000
-477.26590357,147.00160000,-237.17460000
-477.10206357,140.03720000,-232.79520000
-476.93822357,141.78290000,-228.41580000
-476.77438357,136.55810000,-228.41580000
-476.61054357,133.07900000,-228.41580000
-476.44670357,136.55810000,-228.41580000
-476.28286357,134.81860000,-232.79520000
-476.11902357,141.78290000,-224.03640000
-475.95518357,140.03720000,-228.41580000
-475.79134358,140.03720000,-232.79520000
-475.62750358,143.52240000,-228.41580000
-475.46366358,143.52240000,-228.41580000
