Time,Channel A,Channel B
(ms),(mV),(mV)

0.00000000,131.33340000,275.06330000
0.04096000,145.26200000,270.68390000
0.08192000,160.93020000,270.68390000
0.12288000,166.15500000,261.92510000
0.16384000,160.93020000,266.30450000
0.20480000,145.26200000,257.54570000
0.24576000,131.33340000,270.68390000
0.28672000,124.36900000,270.68390000
0.32768000,129.59380000,266.30450000
0.36864000,145.26200000,275.06330000
0.40960000,159.19060000,266.30450000
0.45056000,166.15500000,261.92510000
0.49152000,159.19060000,261.92510000
0.53248000,145.26200000,270.68390000
0.57344000,131.33340000,275.06330000
0.61440000,124.36900000,275.06330000
0.65536000,131.33340000,266.30450000
0.69632000,145.26200000,266.30450000
0.73728000,159.19060000,270.68390000
0.77824000,164.41540000,266.30450000
0.81920000,159.19060000,266.30450000
0.86015999,143.52240000,270.68390000
0.90111999,129.59380000,261.92510000
0.94207999,124.36900000,266.30450000
0.98303999,131.33340000,266.30450000
1.02399999,147.00160000,261.92510000
1.06495999,160.93020000,253.16630000
1.10591999,164.41540000,261.92510000
1.14687999,155.71150000,261.92510000
1.18783999,140.03720000,266.30450000
1.22879999,127.85420000,261.92510000
1.26975999,126.11470000,257.54570000
1.31071999,138.29770000,257.54570000
1.35167999,152.22630000,266.30450000
1.39263999,164.41540000,266.30450000
1.43359999,162.67590000,257.54570000
1.47455999,152.22630000,261.92510000
1.51551999,134.81860000,261.92510000
1.55647999,124.36900000,261.92510000
1.59743999,129.59380000,266.30450000
1.63839999,143.52240000,261.92510000
1.67935999,157.45110000,257.54570000
1.72031999,166.15500000,257.54570000
1.76127999,160.93020000,257.54570000
1.80223999,145.26200000,266.30450000
1.84319999,131.33340000,257.54570000
1.88415999,126.11470000,253.16630000
1.92511999,133.07900000,257.54570000
1.96607999,147.00160000,257.54570000
2.00703999,160.93020000,261.92510000
2.04799999,166.15500000,257.54570000
2.08895999,155.71150000,257.54570000
2.12991999,138.29770000,248.78690000
2.17087999,126.11470000,253.16630000
2.21183999,127.85420000,257.54570000
2.25279999,140.03720000,257.54570000
2.29375999,155.71150000,257.54570000
2.33471999,166.15500000,257.54570000
2.37567999,162.67590000,261.92510000
2.41663999,147.00160000,257.54570000
2.45759999,131.33340000,261.92510000
2.49855998,124.36900000,253.16630000
2.53951998,131.33340000,253.16630000
2.58047998,147.00160000,253.16630000
2.62143998,160.93020000,253.16630000
2.66239998,164.41540000,253.16630000
2.70335998,153.96590000,253.16630000
2.74431998,138.29770000,248.78690000
2.78527998,124.36900000,248.78690000
2.82623998,127.85420000,257.54570000
2.86719998,138.29770000,257.54570000
2.90815998,155.71150000,248.78690000
2.94911998,164.41540000,240.02810000
2.99007998,159.19060000,253.16630000
3.03103998,143.52240000,253.16630000
3.07199998,131.33340000,248.78690000
3.11295998,124.36900000,253.16630000
3.15391998,134.81860000,257.54570000
3.19487998,150.48680000,253.16630000
3.23583998,162.67590000,240.02810000
3.27679998,164.41540000,248.78690000
3.31775998,152.22630000,248.78690000
3.35871998,136.55810000,244.40750000
3.39967998,126.11470000,253.16630000
3.44063998,129.59380000,244.40750000
3.48159998,143.52240000,240.02810000
3.52255998,159.19060000,248.78690000
3.56351998,164.41540000,253.16630000
3.60447998,157.45110000,240.02810000
3.64543998,140.03720000,248.78690000
3.68639998,127.85420000,253.16630000
3.72735998,127.85420000,248.78690000
3.76831998,138.29770000,244.40750000
3.80927998,155.71150000,244.40750000
3.85023998,164.41540000,240.02810000
3.89119998,159.19060000,248.78690000
3.93215998,145.26200000,235.64870000
3.97311998,131.33340000,248.78690000
4.01407998,127.85420000,235.64870000
4.05503998,136.55810000,235.64870000
4.09599998,152.22630000,248.78690000
4.13695997,162.67590000,240.02810000
4.17791997,160.93020000,240.02810000
4.21887997,147.00160000,240.02810000
4.25983997,131.33340000,235.64870000
4.30079997,127.85420000,240.02810000
4.34175997,134.81860000,231.26930000
4.38271997,150.48680000,240.02810000
4.42367997,160.93020000,235.64870000
4.46463997,160.93020000,240.02810000
4.50559997,148.74720000,240.02810000
4.54655997,134.81860000,235.64870000
4.58751997,127.85420000,240.02810000
4.62847997,133.07900000,235.64870000
4.66943997,150.48680000,240.02810000
4.71039997,162.67590000,240.02810000
4.75135997,162.67590000,240.02810000
4.79231997,148.74720000,235.64870000
4.83327997,133.07900000,235.64870000
4.87423997,124.36900000,240.02810000
4.91519997,133.07900000,235.64870000
4.95615997,150.48680000,235.64870000
4.99711997,162.67590000,240.02810000
5.03807997,162.67590000,235.64870000
5.07903997,148.74720000,235.64870000
5.11999997,131.33340000,235.64870000
5.16095997,126.11470000,235.64870000
5.20191997,134.81860000,240.02810000
5.24287997,150.48680000,235.64870000
5.28383997,162.67590000,235.64870000
5.32479997,162.67590000,240.02810000
5.36575997,145.26200000,235.64870000
5.40671997,131.33340000,235.64870000
5.44767997,127.85420000,235.64870000
5.48863997,136.55810000,226.90510000
5.52959997,152.22630000,231.26930000
5.57055997,162.67590000,231.26930000
5.61151997,159.19060000,240.02810000
5.65247997,145.26200000,231.26930000
5.69343997,131.33340000,226.90510000
5.73439997,127.85420000,231.26930000
5.77535996,138.29770000,235.64870000
5.81631996,153.96590000,235.64870000
5.85727996,162.67590000,231.26930000
5.89823996,157.45110000,231.26930000
5.93919996,141.78290000,235.64870000
5.98015996,129.59380000,226.90510000
6.02111996,129.59380000,226.90510000
6.06207996,141.78290000,235.64870000
6.10303996,157.45110000,226.90510000
6.14399996,162.67590000,226.90510000
6.18495996,152.22630000,226.90510000
6.22591996,138.29770000,231.26930000
6.26687996,127.85420000,226.90510000
6.30783996,131.33340000,226.90510000
6.34879996,148.74720000,218.14630000
6.38975996,160.93020000,235.64870000
6.43071996,160.93020000,226.90510000
6.47167996,147.00160000,226.90510000
6.51263996,131.33340000,231.26930000
6.55359996,127.85420000,218.14630000
6.59455996,138.29770000,222.52570000
6.63551996,153.96590000,218.14630000
6.67647996,160.93020000,222.52570000
6.71743996,155.71150000,222.52570000
6.75839996,141.78290000,218.14630000
6.79935996,129.59380000,218.14630000
6.84031996,131.33340000,218.14630000
6.88127996,145.26200000,222.52570000
6.92223996,159.19060000,226.90510000
