Time,Channel A,Channel B
(ms),(mV),(mV)

0.00000000,155.00350000,-342.24980000
0.04096000,128.92540000,-342.24980000
0.08192000,111.52990000,-346.62920000
0.12288000,115.87880000,-346.62920000
0.16384000,133.27430000,-355.38800000
0.20480000,155.00350000,-346.62920000
0.24576000,181.09680000,-342.24980000
0.28672000,189.79460000,-342.24980000
0.32768000,176.74790000,-351.00860000
0.36864000,155.00350000,-342.24980000
0.40960000,133.27430000,-346.62920000
0.45056000,111.52990000,-351.00860000
0.49152000,111.52990000,-342.24980000
0.53248000,128.92540000,-342.24980000
0.57344000,155.00350000,-337.87040000
0.61440000,176.74790000,-346.62920000
0.65536000,189.79460000,-359.76740000
0.69632000,181.09680000,-355.38800000
0.73728000,159.35240000,-346.62920000
0.77824000,133.27430000,-342.24980000
0.81920000,115.87880000,-346.62920000
0.86015999,111.52990000,-346.62920000
0.90111999,120.22770000,-342.24980000
0.94207999,146.30570000,-346.62920000
0.98303999,172.39900000,-355.38800000
1.02399999,185.44570000,-342.24980000
1.06495999,185.44570000,-355.38800000
1.10591999,168.05020000,-346.62920000
1.14687999,141.95680000,-342.24980000
1.18783999,120.22770000,-351.00860000
1.22879999,107.18100000,-346.62920000
1.26975999,115.87880000,-355.38800000
1.31071999,137.62320000,-351.00860000
1.35167999,163.70130000,-351.00860000
1.39263999,181.09680000,-359.76740000
1.43359999,189.79460000,-346.62920000
1.47455999,176.74790000,-346.62920000
1.51551999,155.00350000,-346.62920000
1.55647999,133.27430000,-351.00860000
1.59743999,115.87880000,-351.00860000
1.63839999,111.52990000,-355.38800000
1.67935999,120.22770000,-355.38800000
1.72031999,146.30570000,-351.00860000
1.76127999,172.39900000,-355.38800000
1.80223999,185.44570000,-346.62920000
1.84319999,185.44570000,-346.62920000
1.88415999,172.39900000,-351.00860000
1.92511999,150.65460000,-355.38800000
1.96607999,128.92540000,-355.38800000
2.00703999,111.52990000,-355.38800000
2.04799999,107.18100000,-342.24980000
2.08895999,120.22770000,-359.76740000
2.12991999,146.30570000,-359.76740000
2.17087999,172.39900000,-355.38800000
2.21183999,185.44570000,-355.38800000
2.25279999,189.79460000,-351.00860000
2.29375999,172.39900000,-346.62920000
2.33471999,150.65460000,-351.00860000
2.37567999,128.92540000,-351.00860000
2.41663999,111.52990000,-359.76740000
2.45759999,107.18100000,-355.38800000
2.49855998,120.22770000,-359.76740000
2.53951998,146.30570000,-359.76740000
2.58047998,172.39900000,-355.38800000
2.62143998,185.44570000,-351.00860000
2.66239998,189.79460000,-359.76740000
2.70335998,176.74790000,-351.00860000
2.74431998,155.00350000,-355.38800000
2.78527998,133.27430000,-355.38800000
2.82623998,115.87880000,-355.38800000
2.86719998,107.18100000,-355.38800000
2.90815998,115.87880000,-359.76740000
2.94911998,137.62320000,-355.38800000
2.99007998,163.70130000,-355.38800000
3.03103998,181.09680000,-355.38800000
3.07199998,189.79460000,-359.76740000
3.11295998,185.44570000,-346.62920000
3.15391998,168.05020000,-355.38800000
3.19487998,141.95680000,-359.76740000
3.23583998,120.22770000,-355.38800000
3.27679998,107.18100000,-359.76740000
3.31775998,111.52990000,-351.00860000
3.35871998,124.57650000,-351.00860000
3.39967998,146.30570000,-359.76740000
3.44063998,172.39900000,-355.38800000
3.48159998,189.79460000,-355.38800000
3.52255998,189.79460000,-359.76740000
3.56351998,181.09680000,-359.76740000
3.60447998,159.35240000,-359.76740000
3.64543998,137.62320000,-359.76740000
3.68639998,120.22770000,-364.14690000
3.72735998,107.18100000,-359.76740000
3.76831998,111.52990000,-359.76740000
3.80927998,124.57650000,-359.76740000
3.85023998,150.65460000,-359.76740000
3.89119998,172.39900000,-364.14690000
3.93215998,189.79460000,-364.14690000
3.97311998,189.79460000,-351.00860000
4.01407998,181.09680000,-359.76740000
4.05503998,163.70130000,-359.76740000
4.09599998,137.62320000,-359.76740000
4.13695997,120.22770000,-359.76740000
4.17791997,107.18100000,-359.76740000
4.21887997,107.18100000,-355.38800000
4.25983997,120.22770000,-359.76740000
4.30079997,141.95680000,-359.76740000
4.34175997,168.05020000,-359.76740000
4.38271997,185.44570000,-355.38800000
4.42367997,189.79460000,-359.76740000
4.46463997,189.79460000,-359.76740000
4.50559997,172.39900000,-364.14690000
4.54655997,150.65460000,-359.76740000
4.58751997,128.92540000,-359.76740000
4.62847997,111.52990000,-359.76740000
4.66943997,102.83210000,-364.14690000
4.71039997,111.52990000,-364.14690000
4.75135997,128.92540000,-359.76740000
4.79231997,150.65460000,-355.38800000
4.83327997,172.39900000,-359.76740000
4.87423997,189.79460000,-355.38800000
4.91519997,194.14350000,-364.14690000
4.95615997,185.44570000,-351.00860000
4.99711997,172.39900000,-355.38800000
5.03807997,150.65460000,-368.52620000
5.07903997,128.92540000,-359.76740000
5.11999997,111.52990000,-368.52620000
5.16095997,102.83210000,-368.52620000
5.20191997,111.52990000,-364.14690000
5.24287997,124.57650000,-364.14690000
5.28383997,146.30570000,-364.14690000
5.32479997,168.05020000,-359.76740000
5.36575997,185.44570000,-364.14690000
5.40671997,194.14350000,-364.14690000
5.44767997,189.79460000,-359.76740000
5.48863997,176.74790000,-355.38800000
5.52959997,159.35240000,-368.52620000
5.57055997,137.62320000,-359.76740000
5.61151997,120.22770000,-364.14690000
5.65247997,107.18100000,-359.76740000
5.69343997,102.83210000,-364.14690000
5.73439997,115.87880000,-368.52620000
5.77535996,133.27430000,-359.76740000
5.81631996,155.00350000,-359.76740000
5.85727996,172.39900000,-359.76740000
5.89823996,189.79460000,-364.14690000
5.93919996,194.14350000,-359.76740000
5.98015996,189.79460000,-359.76740000
6.02111996,176.74790000,-364.14690000
6.06207996,155.00350000,-364.14690000
6.10303996,133.27430000,-364.14690000
6.14399996,115.87880000,-359.76740000
6.18495996,107.18100000,-364.14690000
6.22591996,102.83210000,-368.52620000
6.26687996,115.87880000,-359.76740000
6.30783996,128.92540000,-359.76740000
6.34879996,150.65460000,-359.76740000
6.38975996,172.39900000,-359.76740000
6.43071996,185.44570000,-364.14690000
6.47167996,194.14350000,-364.14690000
6.51263996,189.79460000,-368.52620000
6.55359996,181.09680000,-372.90560000
