Time,Channel A,Channel B
(ms),(mV),(mV)

0.00000000,172.39900000,-197.77520000
0.04096000,181.09680000,-202.15460000
0.08192000,155.00350000,-202.15460000
0.12288000,124.57650000,-197.77520000
0.16384000,115.87880000,-197.77520000
0.20480000,141.95680000,-193.39580000
0.24576000,172.39900000,-184.63700000
0.28672000,181.09680000,-193.39580000
0.32768000,150.65460000,-197.77520000
0.36864000,120.22770000,-197.77520000
0.40960000,115.87880000,-197.77520000
0.45056000,146.30570000,-193.39580000
0.49152000,176.74790000,-184.63700000
0.53248000,176.74790000,-197.77520000
0.57344000,146.30570000,-189.01640000
0.61440000,120.22770000,-193.39580000
0.65536000,120.22770000,-193.39580000
0.69632000,150.65460000,-197.77520000
0.73728000,181.09680000,-193.39580000
0.77824000,172.39900000,-193.39580000
0.81920000,141.95680000,-193.39580000
0.86015999,115.87880000,-184.63700000
0.90111999,124.57650000,-193.39580000
0.94207999,159.35240000,-193.39580000
0.98303999,181.09680000,-193.39580000
1.02399999,168.05020000,-193.39580000
1.06495999,133.27430000,-193.39580000
1.10591999,115.87880000,-189.01640000
1.14687999,133.27430000,-193.39580000
1.18783999,168.05020000,-189.01640000
1.22879999,181.09680000,-184.63700000
1.26975999,159.35240000,-184.63700000
1.31071999,124.57650000,-189.01640000
1.35167999,115.87880000,-180.25760000
1.39263999,141.95680000,-180.25760000
1.43359999,172.39900000,-184.63700000
1.47455999,181.09680000,-189.01640000
1.51551999,150.65460000,-184.63700000
1.55647999,120.22770000,-184.63700000
1.59743999,120.22770000,-184.63700000
1.63839999,150.65460000,-184.63700000
1.67935999,181.09680000,-193.39580000
1.72031999,172.39900000,-184.63700000
1.76127999,137.62320000,-184.63700000
1.80223999,115.87880000,-193.39580000
1.84319999,128.92540000,-184.63700000
1.88415999,163.70130000,-180.25760000
1.92511999,181.09680000,-193.39580000
1.96607999,159.35240000,-180.25760000
2.00703999,128.92540000,-184.63700000
2.04799999,115.87880000,-184.63700000
2.08895999,141.95680000,-184.63700000
2.12991999,172.39900000,-180.25760000
2.17087999,181.09680000,-184.63700000
2.21183999,150.65460000,-180.25760000
2.25279999,120.22770000,-184.63700000
2.29375999,120.22770000,-175.87820000
2.33471999,155.00350000,-180.25760000
2.37567999,181.09680000,-180.25760000
2.41663999,172.39900000,-184.63700000
2.45759999,133.27430000,-189.01640000
2.49855998,115.87880000,-180.25760000
2.53951998,137.62320000,-184.63700000
2.58047998,172.39900000,-180.25760000
2.62143998,181.09680000,-175.87820000
2.66239998,155.00350000,-180.25760000
2.70335998,120.22770000,-171.49870000
2.74431998,120.22770000,-180.25760000
2.78527998,155.00350000,-180.25760000
2.82623998,181.09680000,-180.25760000
2.86719998,172.39900000,-175.87820000
2.90815998,137.62320000,-171.49870000
2.94911998,115.87880000,-171.49870000
2.99007998,133.27430000,-175.87820000
3.03103998,168.05020000,-175.87820000
3.07199998,181.09680000,-171.49870000
3.11295998,155.00350000,-171.49870000
3.15391998,120.22770000,-171.49870000
3.19487998,120.22770000,-167.11930000
3.23583998,155.00350000,-175.87820000
3.27679998,181.09680000,-171.49870000
3.31775998,172.39900000,-171.49870000
3.35871998,133.27430000,-167.11930000
3.39967998,115.87880000,-171.49870000
3.44063998,137.62320000,-180.25760000
3.48159998,172.39900000,-167.11930000
3.52255998,181.09680000,-171.49870000
3.56351998,150.65460000,-167.11930000
3.60447998,120.22770000,-162.75520000
3.64543998,120.22770000,-158.37580000
3.68639998,155.00350000,-167.11930000
3.72735998,181.09680000,-162.75520000
3.76831998,163.70130000,-167.11930000
3.80927998,128.92540000,-162.75520000
3.85023998,115.87880000,-167.11930000
3.89119998,141.95680000,-167.11930000
3.93215998,176.74790000,-167.11930000
3.97311998,172.39900000,-167.11930000
4.01407998,137.62320000,-167.11930000
4.05503998,115.87880000,-162.75520000
4.09599998,133.27430000,-162.75520000
4.13695997,168.05020000,-167.11930000
4.17791997,181.09680000,-167.11930000
4.21887997,155.00350000,-162.75520000
4.25983997,120.22770000,-162.75520000
4.30079997,120.22770000,-162.75520000
4.34175997,155.00350000,-167.11930000
4.38271997,181.09680000,-158.37580000
4.42367997,163.70130000,-162.75520000
4.46463997,128.92540000,-158.37580000
4.50559997,115.87880000,-167.11930000
4.54655997,141.95680000,-158.37580000
4.58751997,176.74790000,-167.11930000
4.62847997,172.39900000,-153.99640000
4.66943997,137.62320000,-167.11930000
4.71039997,115.87880000,-153.99640000
4.75135997,133.27430000,-158.37580000
4.79231997,172.39900000,-153.99640000
4.83327997,181.09680000,-149.61700000
4.87423997,150.65460000,-162.75520000
4.91519997,120.22770000,-162.75520000
4.95615997,120.22770000,-153.99640000
4.99711997,163.70130000,-158.37580000
5.03807997,185.44570000,-153.99640000
5.07903997,159.35240000,-158.37580000
5.11999997,124.57650000,-153.99640000
5.16095997,120.22770000,-158.37580000
5.20191997,150.65460000,-158.37580000
5.24287997,181.09680000,-158.37580000
5.28383997,168.05020000,-158.37580000
5.32479997,128.92540000,-149.61700000
5.36575997,115.87880000,-149.61700000
5.40671997,141.95680000,-153.99640000
5.44767997,176.74790000,-149.61700000
5.48863997,172.39900000,-149.61700000
5.52959997,137.62320000,-153.99640000
5.57055997,115.87880000,-158.37580000
5.61151997,133.27430000,-158.37580000
5.65247997,172.39900000,-149.61700000
5.69343997,176.74790000,-145.23760000
5.73439997,146.30570000,-149.61700000
5.77535996,115.87880000,-149.61700000
5.81631996,128.92540000,-158.37580000
5.85727996,168.05020000,-153.99640000
5.89823996,181.09680000,-153.99640000
5.93919996,155.00350000,-145.23760000
5.98015996,120.22770000,-153.99640000
6.02111996,120.22770000,-149.61700000
6.06207996,159.35240000,-149.61700000
6.10303996,181.09680000,-153.99640000
6.14399996,159.35240000,-145.23760000
6.18495996,120.22770000,-153.99640000
6.22591996,120.22770000,-149.61700000
6.26687996,155.00350000,-145.23760000
6.30783996,181.09680000,-145.23760000
6.34879996,163.70130000,-149.61700000
6.38975996,128.92540000,-149.61700000
6.43071996,115.87880000,-149.61700000
6.47167996,146.30570000,-145.23760000
6.51263996,181.09680000,-149.61700000
6.55359996,172.39900000,-149.61700000
