Time,Channel A,Channel B
(ms),(mV),(mV)

0.00000000,85.43656000,358.24150000
0.04096000,128.92540000,367.00030000
0.08192000,172.39900000,362.62090000
0.12288000,211.53900000,358.24150000
0.16384000,233.28350000,362.62090000
0.20480000,233.28350000,362.62090000
0.24576000,207.19010000,362.62090000
0.28672000,172.39900000,362.62090000
0.32768000,120.22770000,362.62090000
0.36864000,81.08768000,358.24150000
0.40960000,50.64546000,367.00030000
0.45056000,50.64546000,358.24150000
0.49152000,68.04102000,358.24150000
0.53248000,102.83210000,367.00030000
0.57344000,146.30570000,367.00030000
0.61440000,194.14350000,353.86210000
0.65536000,224.58570000,362.62090000
0.69632000,241.98120000,358.24150000
0.73728000,228.93460000,358.24150000
0.77824000,198.49240000,362.62090000
0.81920000,155.00350000,362.62090000
0.86015999,111.52990000,367.00030000
0.90111999,72.38989000,367.00030000
0.94207999,50.64546000,362.62090000
0.98303999,50.64546000,367.00030000
1.02399999,72.38989000,358.24150000
1.06495999,107.18100000,362.62090000
1.10591999,155.00350000,375.75910000
1.14687999,194.14350000,358.24150000
1.18783999,224.58570000,362.62090000
1.22879999,241.98120000,358.24150000
1.26975999,233.28350000,362.62090000
1.31071999,202.84120000,362.62090000
1.35167999,159.35240000,362.62090000
1.39263999,115.87880000,358.24150000
1.43359999,72.38989000,367.00030000
1.47455999,50.64546000,362.62090000
1.51551999,46.29657000,362.62090000
1.55647999,63.69213000,362.62090000
1.59743999,98.48322000,367.00030000
1.63839999,137.62320000,362.62090000
1.67935999,181.09680000,371.37970000
1.72031999,220.23680000,353.86210000
1.76127999,241.98120000,367.00030000
1.80223999,241.98120000,362.62090000
1.84319999,220.23680000,371.37970000
1.88415999,185.44570000,362.62090000
1.92511999,137.62320000,367.00030000
1.96607999,98.48322000,362.62090000
2.00703999,63.69213000,375.75910000
2.04799999,46.29657000,371.37970000
2.08895999,46.29657000,362.62090000
2.12991999,68.04102000,358.24150000
2.17087999,98.48322000,367.00030000
2.21183999,146.30570000,367.00030000
2.25279999,185.44570000,362.62090000
2.29375999,224.58570000,362.62090000
2.33471999,241.98120000,367.00030000
2.37567999,241.98120000,367.00030000
2.41663999,224.58570000,367.00030000
2.45759999,189.79460000,358.24150000
2.49855998,146.30570000,371.37970000
2.53951998,102.83210000,367.00030000
2.58047998,68.04102000,358.24150000
2.62143998,46.29657000,367.00030000
2.66239998,46.29657000,367.00030000
2.70335998,59.34324000,367.00030000
2.74431998,89.78545000,367.00030000
2.78527998,133.27430000,371.37970000
2.82623998,172.39900000,367.00030000
2.86719998,215.88790000,371.37970000
2.90815998,241.98120000,367.00030000
2.94911998,246.33010000,375.75910000
2.99007998,233.28350000,371.37970000
3.03103998,207.19010000,367.00030000
3.07199998,163.70130000,371.37970000
3.11295998,120.22770000,367.00030000
3.15391998,81.08768000,371.37970000
3.19487998,50.64546000,367.00030000
3.23583998,41.94769000,367.00030000
3.27679998,46.29657000,367.00030000
3.31775998,68.04102000,371.37970000
3.35871998,107.18100000,367.00030000
3.39967998,146.30570000,375.75910000
3.44063998,185.44570000,362.62090000
3.48159998,220.23680000,362.62090000
3.52255998,241.98120000,362.62090000
3.56351998,246.33010000,362.62090000
3.60447998,237.63240000,367.00030000
3.64543998,207.19010000,367.00030000
3.68639998,168.05020000,367.00030000
3.72735998,128.92540000,358.24150000
3.76831998,85.43656000,367.00030000
3.80927998,59.34324000,367.00030000
3.85023998,41.94769000,371.37970000
3.89119998,41.94769000,367.00030000
3.93215998,54.99435000,371.37970000
3.97311998,81.08768000,367.00030000
4.01407998,120.22770000,362.62090000
4.05503998,163.70130000,367.00030000
4.09599998,198.49240000,371.37970000
4.13695997,233.28350000,367.00030000
4.17791997,246.33010000,371.37970000
4.21887997,246.33010000,371.37970000
4.25983997,233.28350000,367.00030000
4.30079997,202.84120000,371.37970000
4.34175997,163.70130000,362.62090000
4.38271997,120.22770000,371.37970000
4.42367997,81.08768000,367.00030000
4.46463997,50.64546000,367.00030000
4.50559997,41.94769000,375.75910000
4.54655997,41.94769000,358.24150000
4.58751997,54.99435000,362.62090000
4.62847997,85.43656000,375.75910000
4.66943997,124.57650000,367.00030000
4.71039997,163.70130000,367.00030000
4.75135997,202.84120000,375.75910000
4.79231997,233.28350000,375.75910000
4.83327997,246.33010000,375.75910000
4.87423997,250.67900000,371.37970000
4.91519997,233.28350000,371.37970000
4.95615997,207.19010000,375.75910000
4.99711997,172.39900000,371.37970000
5.03807997,128.92540000,375.75910000
5.07903997,89.78545000,371.37970000
5.11999997,63.69213000,362.62090000
5.16095997,37.59880000,371.37970000
5.20191997,33.24991000,375.75910000
5.24287997,46.29657000,375.75910000
5.28383997,68.04102000,367.00030000
5.32479997,98.48322000,371.37970000
5.36575997,133.27430000,371.37970000
5.40671997,172.39900000,375.75910000
5.44767997,207.19010000,375.75910000
5.48863997,233.28350000,375.75910000
5.52959997,250.67900000,375.75910000
5.57055997,255.02790000,375.75910000
5.61151997,241.98120000,375.75910000
5.65247997,220.23680000,375.75910000
5.69343997,185.44570000,367.00030000
5.73439997,150.65460000,371.37970000
5.77535996,111.52990000,367.00030000
5.81631996,76.73878000,367.00030000
5.85727996,50.64546000,367.00030000
5.89823996,37.59880000,375.75910000
5.93919996,33.24991000,375.75910000
5.98015996,41.94769000,375.75910000
6.02111996,63.69213000,367.00030000
6.06207996,89.78545000,367.00030000
6.10303996,124.57650000,375.75910000
6.14399996,163.70130000,367.00030000
6.18495996,198.49240000,375.75910000
6.22591996,224.58570000,380.13850000
6.26687996,246.33010000,362.62090000
6.30783996,255.02790000,375.75910000
6.34879996,255.02790000,367.00030000
6.38975996,237.63240000,371.37970000
6.43071996,211.53900000,371.37970000
6.47167996,176.74790000,375.75910000
6.51263996,146.30570000,371.37970000
6.55359996,107.18100000,375.75910000
6.59455996,76.73878000,375.75910000
6.63551996,50.64546000,367.00030000
6.67647996,33.24991000,371.37970000
6.71743996,28.90103000,375.75910000
6.75839996,37.59880000,371.37970000
6.79935996,54.99435000,375.75910000
6.84031996,76.73878000,375.75910000
6.88127996,107.18100000,375.75910000
6.92223996,141.95680000,375.75910000
