Time,Channel A,Channel B
(ms),(mV),(mV)

0.00000000,163.70130000,-320.36800000
0.04096000,185.44570000,-311.60920000
0.08192000,176.74790000,-324.74750000
0.12288000,150.65460000,-320.36800000
0.16384000,124.57650000,-320.36800000
0.20480000,115.87880000,-315.98860000
0.24576000,133.27430000,-320.36800000
0.28672000,163.70130000,-324.74750000
0.32768000,185.44570000,-324.74750000
0.36864000,181.09680000,-320.36800000
0.40960000,155.00350000,-324.74750000
0.45056000,124.57650000,-320.36800000
0.49152000,115.87880000,-320.36800000
0.53248000,128.92540000,-320.36800000
0.57344000,155.00350000,-320.36800000
0.61440000,185.44570000,-320.36800000
0.65536000,185.44570000,-320.36800000
0.69632000,163.70130000,-320.36800000
0.73728000,133.27430000,-333.49100000
0.77824000,115.87880000,-324.74750000
0.81920000,120.22770000,-324.74750000
0.86015999,150.65460000,-320.36800000
0.90111999,176.74790000,-320.36800000
0.94207999,185.44570000,-324.74750000
0.98303999,172.39900000,-320.36800000
1.02399999,141.95680000,-324.74750000
1.06495999,120.22770000,-324.74750000
1.10591999,115.87880000,-324.74750000
1.14687999,137.62320000,-324.74750000
1.18783999,168.05020000,-329.12680000
1.22879999,185.44570000,-329.12680000
1.26975999,176.74790000,-324.74750000
1.31071999,155.00350000,-324.74750000
1.35167999,124.57650000,-324.74750000
1.39263999,115.87880000,-329.12680000
1.43359999,128.92540000,-324.74750000
1.47455999,155.00350000,-320.36800000
1.51551999,185.44570000,-333.49100000
1.55647999,185.44570000,-329.12680000
1.59743999,168.05020000,-324.74750000
1.63839999,137.62320000,-333.49100000
1.67935999,115.87880000,-329.12680000
1.72031999,120.22770000,-329.12680000
1.76127999,141.95680000,-333.49100000
1.80223999,172.39900000,-324.74750000
1.84319999,185.44570000,-329.12680000
1.88415999,176.74790000,-329.12680000
1.92511999,155.00350000,-320.36800000
1.96607999,124.57650000,-324.74750000
2.00703999,115.87880000,-329.12680000
2.04799999,124.57650000,-329.12680000
2.08895999,155.00350000,-333.49100000
2.12991999,181.09680000,-324.74750000
2.17087999,185.44570000,-324.74750000
2.21183999,172.39900000,-324.74750000
2.25279999,141.95680000,-333.49100000
2.29375999,120.22770000,-324.74750000
2.33471999,115.87880000,-337.87040000
2.37567999,133.27430000,-333.49100000
2.41663999,163.70130000,-329.12680000
2.45759999,185.44570000,-324.74750000
2.49855998,185.44570000,-324.74750000
2.53951998,163.70130000,-333.49100000
2.58047998,137.62320000,-333.49100000
2.62143998,115.87880000,-329.12680000
2.66239998,120.22770000,-324.74750000
2.70335998,137.62320000,-333.49100000
2.74431998,168.05020000,-333.49100000
2.78527998,185.44570000,-329.12680000
2.82623998,185.44570000,-324.74750000
2.86719998,159.35240000,-333.49100000
2.90815998,133.27430000,-329.12680000
2.94911998,115.87880000,-324.74750000
2.99007998,115.87880000,-329.12680000
3.03103998,141.95680000,-333.49100000
3.07199998,172.39900000,-337.87040000
3.11295998,189.79460000,-333.49100000
3.15391998,181.09680000,-329.12680000
3.19487998,159.35240000,-329.12680000
3.23583998,133.27430000,-329.12680000
3.27679998,115.87880000,-337.87040000
3.31775998,120.22770000,-329.12680000
3.35871998,141.95680000,-333.49100000
3.39967998,172.39900000,-333.49100000
3.44063998,189.79460000,-333.49100000
3.48159998,185.44570000,-333.49100000
3.52255998,159.35240000,-337.87040000
3.56351998,128.92540000,-333.49100000
3.60447998,115.87880000,-337.87040000
3.64543998,115.87880000,-342.24980000
3.68639998,137.62320000,-337.87040000
3.72735998,168.05020000,-337.87040000
3.76831998,185.44570000,-333.49100000
3.80927998,185.44570000,-333.49100000
3.85023998,163.70130000,-342.24980000
3.89119998,137.62320000,-333.49100000
3.93215998,115.87880000,-337.87040000
3.97311998,115.87880000,-333.49100000
4.01407998,133.27430000,-333.49100000
4.05503998,159.35240000,-329.12680000
4.09599998,185.44570000,-333.49100000
4.13695997,189.79460000,-342.24980000
4.17791997,172.39900000,-333.49100000
4.21887997,141.95680000,-333.49100000
4.25983997,120.22770000,-333.49100000
4.30079997,115.87880000,-333.49100000
4.34175997,124.57650000,-337.87040000
4.38271997,155.00350000,-342.24980000
4.42367997,176.74790000,-342.24980000
4.46463997,189.79460000,-333.49100000
4.50559997,176.74790000,-333.49100000
4.54655997,155.00350000,-337.87040000
4.58751997,124.57650000,-333.49100000
4.62847997,115.87880000,-333.49100000
4.66943997,120.22770000,-346.62920000
4.71039997,141.95680000,-337.87040000
4.75135997,172.39900000,-337.87040000
4.79231997,189.79460000,-342.24980000
4.83327997,185.44570000,-342.24980000
4.87423997,163.70130000,-337.87040000
4.91519997,137.62320000,-337.87040000
4.95615997,115.87880000,-337.87040000
4.99711997,115.87880000,-342.24980000
5.03807997,128.92540000,-337.87040000
5.07903997,155.00350000,-337.87040000
5.11999997,185.44570000,-346.62920000
5.16095997,189.79460000,-342.24980000
5.20191997,176.74790000,-342.24980000
5.24287997,155.00350000,-337.87040000
5.28383997,128.92540000,-346.62920000
5.32479997,115.87880000,-342.24980000
5.36575997,120.22770000,-342.24980000
5.40671997,137.62320000,-342.24980000
5.44767997,168.05020000,-342.24980000
5.48863997,185.44570000,-337.87040000
5.52959997,189.79460000,-346.62920000
5.57055997,172.39900000,-337.87040000
5.61151997,146.30570000,-342.24980000
5.65247997,120.22770000,-333.49100000
5.69343997,115.87880000,-342.24980000
5.73439997,120.22770000,-342.24980000
5.77535996,146.30570000,-342.24980000
5.81631996,172.39900000,-346.62920000
5.85727996,189.79460000,-346.62920000
5.89823996,185.44570000,-346.62920000
5.93919996,168.05020000,-342.24980000
5.98015996,137.62320000,-342.24980000
6.02111996,120.22770000,-342.24980000
6.06207996,111.52990000,-342.24980000
6.10303996,124.57650000,-342.24980000
6.14399996,150.65460000,-346.62920000
6.18495996,172.39900000,-342.24980000
6.22591996,189.79460000,-342.24980000
6.26687996,185.44570000,-342.24980000
6.30783996,168.05020000,-355.38800000
6.34879996,137.62320000,-337.87040000
6.38975996,115.87880000,-346.62920000
6.43071996,111.52990000,-337.87040000
6.47167996,124.57650000,-355.38800000
6.51263996,146.30570000,-342.24980000
6.55359996,172.39900000,-346.62920000
