Time,Channel A
(ms),(mV)

-116.39820214,120.22770000
-116.37772214,128.92540000
-116.35724214,137.62320000
-116.33676214,155.00350000
-116.31628214,163.70130000
-116.29580214,172.39900000
-116.27532214,168.05020000
-116.25484214,159.35240000
-116.23436214,146.30570000
-116.21388214,133.27430000
-116.19340214,124.57650000
-116.17292214,120.22770000
-116.15244214,120.22770000
-116.13196214,133.27430000
-116.11148214,146.30570000
-116.09100214,155.00350000
-116.07052214,168.05020000
-116.05004214,168.05020000
-116.02956214,168.05020000
-116.00908214,155.00350000
-115.98860214,141.95680000
-115.96812214,128.92540000
-115.94764214,120.22770000
-115.92716214,120.22770000
-115.90668214,124.57650000
-115.88620214,137.62320000
-115.86572214,150.65460000
-115.84524214,163.70130000
-115.82476214,168.05020000
-115.80428214,172.39900000
-115.78380214,163.70130000
-115.76332214,155.00350000
-115.74284214,137.62320000
-115.72236214,128.92540000
-115.70188214,120.22770000
-115.68140214,120.22770000
-115.66092214,124.57650000
-115.64044214,137.62320000
-115.61996214,150.65460000
-115.59948214,163.70130000
-115.57900214,172.39900000
-115.55852214,172.39900000
-115.53804214,163.70130000
-115.51756214,155.00350000
-115.49708214,137.62320000
-115.47660214,124.57650000
-115.45612214,120.22770000
-115.43564214,120.22770000
-115.41516214,124.57650000
-115.39468214,137.62320000
-115.37420214,150.65460000
-115.35372214,163.70130000
-115.33324214,172.39900000
-115.31276214,172.39900000
-115.29228214,168.05020000
-115.27180214,155.00350000
-115.25132214,141.95680000
-115.23084214,133.27430000
-115.21036214,120.22770000
-115.18988214,120.22770000
-115.16940214,124.57650000
-115.14892214,133.27430000
-115.12844214,146.30570000
-115.10796214,159.35240000
-115.08748214,168.05020000
-115.06700214,172.39900000
-115.04652214,168.05020000
-115.02604214,159.35240000
-115.00556214,146.30570000
-114.98508214,133.27430000
-114.96460214,124.57650000
-114.94412214,120.22770000
-114.92364214,120.22770000
-114.90316214,128.92540000
-114.88268214,137.62320000
-114.86220214,155.00350000
-114.84172214,163.70130000
-114.82124214,172.39900000
-114.80076215,168.05020000
-114.78028215,163.70130000
-114.75980215,155.00350000
-114.73932215,137.62320000
-114.71884215,124.57650000
-114.69836215,120.22770000
-114.67788215,120.22770000
-114.65740215,124.57650000
-114.63692215,137.62320000
-114.61644215,150.65460000
-114.59596215,159.35240000
-114.57548215,168.05020000
-114.55500215,172.39900000
-114.53452215,168.05020000
-114.51404215,159.35240000
-114.49356215,146.30570000
-114.47308215,133.27430000
-114.45260215,124.57650000
-114.43212215,120.22770000
-114.41164215,120.22770000
-114.39116215,128.92540000
-114.37068215,141.95680000
-114.35020215,155.00350000
-114.32972215,168.05020000
-114.30924215,172.39900000
-114.28876215,172.39900000
-114.26828215,163.70130000
-114.24780215,155.00350000
-114.22732215,141.95680000
-114.20684215,128.92540000
-114.18636215,120.22770000
-114.16588215,120.22770000
-114.14540215,120.22770000
-114.12492215,133.27430000
-114.10444215,146.30570000
-114.08396215,155.00350000
-114.06348215,168.05020000
-114.04300215,172.39900000
-114.02252215,172.39900000
-114.00204215,159.35240000
-113.98156215,150.65460000
-113.96108215,137.62320000
-113.94060215,128.92540000
-113.92012215,120.22770000
-113.89964215,120.22770000
-113.87916215,124.57650000
-113.85868215,133.27430000
-113.83820215,146.30570000
-113.81772215,159.35240000
-113.79724215,168.05020000
-113.77676215,172.39900000
-113.75628215,172.39900000
-113.73580215,163.70130000
-113.71532215,150.65460000
-113.69484215,137.62320000
-113.67436215,128.92540000
-113.65388215,120.22770000
-113.63340215,120.22770000
-113.61292215,120.22770000
-113.59244215,133.27430000
-113.57196215,141.95680000
-113.55148215,155.00350000
-113.53100215,168.05020000
-113.51052215,172.39900000
-113.49004215,172.39900000
-113.46956215,168.05020000
-113.44908215,155.00350000
-113.42860215,146.30570000
-113.40812215,133.27430000
-113.38764215,120.22770000
-113.36716215,120.22770000
-113.34668215,120.22770000
-113.32620215,124.57650000
-113.30572215,137.62320000
-113.28524215,150.65460000
-113.26476215,163.70130000
-113.24428215,172.39900000
-113.22380215,172.39900000
-113.20332215,172.39900000
-113.18284215,163.70130000
-113.16236215,150.65460000
-113.14188216,137.62320000
-113.12140216,124.57650000
-113.10092216,120.22770000
-113.08044216,120.22770000
-113.05996216,120.22770000
-113.03948216,128.92540000
-113.01900216,141.95680000
-112.99852216,155.00350000
-112.97804216,168.05020000
-112.95756216,172.39900000
-112.93708216,172.39900000
-112.91660216,168.05020000
-112.89612216,155.00350000
-112.87564216,146.30570000
-112.85516216,133.27430000
-112.83468216,124.57650000
-112.81420216,120.22770000
-112.79372216,120.22770000
-112.77324216,124.57650000
-112.75276216,133.27430000
-112.73228216,141.95680000
-112.71180216,159.35240000
-112.69132216,168.05020000
-112.67084216,172.39900000
-112.65036216,172.39900000
-112.62988216,168.05020000
-112.60940216,159.35240000
-112.58892216,146.30570000
-112.56844216,137.62320000
-112.54796216,124.57650000
-112.52748216,120.22770000
-112.50700216,120.22770000
-112.48652216,120.22770000
-112.46604216,133.27430000
-112.44556216,141.95680000
-112.42508216,155.00350000
-112.40460216,168.05020000
-112.38412216,172.39900000
-112.36364216,172.39900000
-112.34316216,168.05020000
-112.32268216,159.35240000
-112.30220216,150.65460000
-112.28172216,137.62320000
-112.26124216,124.57650000
-112.24076216,120.22770000
-112.22028216,115.87880000
-112.19980216,120.22770000
-112.17932216,128.92540000
-112.15884216,137.62320000
-112.13836216,155.00350000
-112.11788216,163.70130000
-112.09740216,172.39900000
-112.07692216,172.39900000
-112.05644216,172.39900000
-112.03596216,163.70130000
-112.01548216,155.00350000
-111.99500216,141.95680000
-111.97452216,128.92540000
-111.95404216,124.57650000
-111.93356216,120.22770000
-111.91308216,120.22770000
-111.89260216,124.57650000
-111.87212216,133.27430000
-111.85164216,141.95680000
-111.83116216,155.00350000
-111.81068216,168.05020000
-111.79020216,172.39900000
-111.76972216,172.39900000
-111.74924216,172.39900000
-111.72876216,163.70130000
-111.70828216,150.65460000
-111.68780216,137.62320000
-111.66732216,128.92540000
-111.64684216,120.22770000
-111.62636216,115.87880000
-111.60588216,120.22770000
-111.58540216,120.22770000
-111.56492216,133.27430000
-111.54444216,146.30570000
-111.52396216,155.00350000
-111.50348217,168.05020000
-111.48300217,172.39900000
-111.46252217,172.39900000
-111.44204217,172.39900000
-111.42156217,163.70130000
-111.40108217,155.00350000
-111.38060217,141.95680000
-111.36012217,133.27430000
-111.33964217,120.22770000
-111.31916217,115.87880000
-111.29868217,115.87880000
-111.27820217,124.57650000
-111.25772217,128.92540000
-111.23724217,141.95680000
-111.21676217,155.00350000
-111.19628217,163.70130000
-111.17580217,172.39900000
-111.15532217,172.39900000
-111.13484217,172.39900000
-111.11436217,168.05020000
-111.09388217,155.00350000
-111.07340217,146.30570000
-111.05292217,137.62320000
-111.03244217,124.57650000
-111.01196217,120.22770000
-110.99148217,115.87880000
-110.97100217,120.22770000
-110.95052217,124.57650000
-110.93004217,133.27430000
-110.90956217,146.30570000
-110.88908217,155.00350000
-110.86860217,168.05020000
-110.84812217,172.39900000
-110.82764217,176.74790000
-110.80716217,172.39900000
-110.78668217,163.70130000
-110.76620217,155.00350000
-110.74572217,141.95680000
-110.72524217,133.27430000
-110.70476217,120.22770000
-110.68428217,115.87880000
-110.66380217,115.87880000
-110.64332217,120.22770000
-110.62284217,128.92540000
-110.60236217,137.62320000
-110.58188217,150.65460000
-110.56140217,159.35240000
-110.54092217,168.05020000
-110.52044217,172.39900000
-110.49996217,176.74790000
-110.47948217,172.39900000
-110.45900217,163.70130000
-110.43852217,155.00350000
-110.41804217,146.30570000
-110.39756217,133.27430000
-110.37708217,120.22770000
-110.35660217,120.22770000
-110.33612217,115.87880000
-110.31564217,115.87880000
-110.29516217,124.57650000
-110.27468217,133.27430000
-110.25420217,141.95680000
-110.23372217,155.00350000
-110.21324217,168.05020000
-110.19276217,172.39900000
-110.17228217,172.39900000
-110.15180217,172.39900000
-110.13132217,172.39900000
-110.11084217,159.35240000
-110.09036217,150.65460000
-110.06988217,137.62320000
-110.04940217,128.92540000
-110.02892217,120.22770000
-110.00844217,115.87880000
-109.98796217,115.87880000
-109.96748217,120.22770000
-109.94700217,128.92540000
-109.92652217,137.62320000
-109.90604217,150.65460000
-109.88556217,159.35240000
