Time,Channel A
(ms),(mV)

-118.00030619,124.57650000
-117.97982619,128.92540000
-117.95934619,141.95680000
-117.93886619,155.00350000
-117.91838619,168.05020000
-117.89790619,176.74790000
-117.87742619,172.39900000
-117.85694619,163.70130000
-117.83646619,146.30570000
-117.81598619,133.27430000
-117.79550619,124.57650000
-117.77502619,124.57650000
-117.75454619,133.27430000
-117.73406619,150.65460000
-117.71358619,163.70130000
-117.69310619,172.39900000
-117.67262619,172.39900000
-117.65214619,172.39900000
-117.63166619,155.00350000
-117.61118619,141.95680000
-117.59070619,128.92540000
-117.57022619,124.57650000
-117.54974619,128.92540000
-117.52926619,137.62320000
-117.50878619,150.65460000
-117.48830619,163.70130000
-117.46782619,172.39900000
-117.44734619,172.39900000
-117.42686619,168.05020000
-117.40638619,155.00350000
-117.38590619,137.62320000
-117.36542619,128.92540000
-117.34494619,124.57650000
-117.32446619,128.92540000
-117.30398619,137.62320000
-117.28350619,155.00350000
-117.26302619,168.05020000
-117.24254619,172.39900000
-117.22206619,172.39900000
-117.20158619,163.70130000
-117.18110619,150.65460000
-117.16062619,137.62320000
-117.14014619,124.57650000
-117.11966619,124.57650000
-117.09918619,128.92540000
-117.07870619,141.95680000
-117.05822619,155.00350000
-117.03774619,172.39900000
-117.01726620,172.39900000
-116.99678620,172.39900000
-116.97630620,163.70130000
-116.95582620,150.65460000
-116.93534620,137.62320000
-116.91486620,124.57650000
-116.89438620,124.57650000
-116.87390620,128.92540000
-116.85342620,141.95680000
-116.83294620,155.00350000
-116.81246620,168.05020000
-116.79198620,172.39900000
-116.77150620,172.39900000
-116.75102620,168.05020000
-116.73054620,150.65460000
-116.71006620,137.62320000
-116.68958620,124.57650000
-116.66910620,120.22770000
-116.64862620,128.92540000
-116.62814620,137.62320000
-116.60766620,155.00350000
-116.58718620,168.05020000
-116.56670620,172.39900000
-116.54622620,176.74790000
-116.52574620,168.05020000
-116.50526620,155.00350000
-116.48478620,141.95680000
-116.46430620,128.92540000
-116.44382620,124.57650000
-116.42334620,124.57650000
