Time,Channel A
(ms),(mV)

-118.00482869,120.22770000
-117.98434869,120.22770000
-117.96386869,120.22770000
-117.94338869,133.27430000
-117.92290869,150.65460000
-117.90242869,159.35240000
-117.88194869,172.39900000
-117.86146869,172.39900000
-117.84098869,168.05020000
-117.82050869,155.00350000
-117.80002869,137.62320000
-117.77954869,124.57650000
-117.75906869,120.22770000
-117.73858869,120.22770000
-117.71810869,128.92540000
-117.69762869,146.30570000
-117.67714869,159.35240000
-117.65666869,168.05020000
-117.63618869,172.39900000
-117.61570869,168.05020000
-117.59522869,159.35240000
-117.57474869,141.95680000
-117.55426869,128.92540000
-117.53378869,120.22770000
-117.51330869,120.22770000
-117.49282869,128.92540000
-117.47234869,141.95680000
-117.45186869,155.00350000
-117.43138869,168.05020000
-117.41090870,172.39900000
-117.39042870,172.39900000
-117.36994870,159.35240000
-117.34946870,146.30570000
-117.32898870,128.92540000
-117.30850870,120.22770000
-117.28802870,120.22770000
-117.26754870,124.57650000
-117.24706870,137.62320000
-117.22658870,155.00350000
-117.20610870,163.70130000
-117.18562870,172.39900000
-117.16514870,172.39900000
-117.14466870,163.70130000
-117.12418870,150.65460000
-117.10370870,137.62320000
-117.08322870,124.57650000
-117.06274870,115.87880000
-117.04226870,120.22770000
-117.02178870,128.92540000
-117.00130870,146.30570000
-116.98082870,159.35240000
-116.96034870,172.39900000
-116.93986870,172.39900000
-116.91938870,172.39900000
-116.89890870,159.35240000
-116.87842870,146.30570000
-116.85794870,128.92540000
-116.83746870,120.22770000
-116.81698870,120.22770000
-116.79650870,124.57650000
-116.77602870,133.27430000
-116.75554870,150.65460000
-116.73506870,163.70130000
-116.71458870,172.39900000
-116.69410870,172.39900000
-116.67362870,168.05020000
-116.65314870,155.00350000
-116.63266870,137.62320000
-116.61218870,124.57650000
-116.59170870,115.87880000
-116.57122870,120.22770000
-116.55074870,128.92540000
-116.53026870,137.62320000
-116.50978870,155.00350000
-116.48930870,168.05020000
-116.46882870,172.39900000
-116.44834870,172.39900000
-116.42786870,163.70130000
