Time,Channel A
(ms),(mV)

-117.99922585,124.57650000
-117.97874585,137.62320000
-117.95826586,150.65460000
-117.93778586,163.70130000
-117.91730586,172.39900000
-117.89682586,168.05020000
-117.87634586,159.35240000
-117.85586586,150.65460000
-117.83538586,133.27430000
-117.81490586,124.57650000
-117.79442586,124.57650000
-117.77394586,128.92540000
-117.75346586,141.95680000
-117.73298586,155.00350000
-117.71250586,168.05020000
-117.69202586,172.39900000
-117.67154586,168.05020000
-117.65106586,155.00350000
-117.63058586,141.95680000
-117.61010586,128.92540000
-117.58962586,124.57650000
-117.56914586,124.57650000
-117.54866586,133.27430000
-117.52818586,146.30570000
-117.50770586,159.35240000
-117.48722586,172.39900000
-117.46674586,172.39900000
-117.44626586,168.05020000
-117.42578586,155.00350000
-117.40530586,137.62320000
-117.38482586,128.92540000
-117.36434586,120.22770000
-117.34386586,124.57650000
-117.32338586,137.62320000
-117.30290586,150.65460000
-117.28242586,163.70130000
-117.26194586,172.39900000
-117.24146586,172.39900000
-117.22098586,163.70130000
-117.20050586,150.65460000
-117.18002586,137.62320000
-117.15954586,124.57650000
-117.13906586,120.22770000
-117.11858586,124.57650000
-117.09810586,137.62320000
-117.07762586,155.00350000
-117.05714586,163.70130000
-117.03666586,172.39900000
-117.01618586,172.39900000
-116.99570586,163.70130000
-116.97522586,150.65460000
-116.95474586,137.62320000
-116.93426586,124.57650000
-116.91378586,120.22770000
-116.89330586,128.92540000
-116.87282586,137.62320000
-116.85234586,150.65460000
-116.83186586,168.05020000
-116.81138586,172.39900000
-116.79090586,172.39900000
-116.77042586,163.70130000
-116.74994586,150.65460000
-116.72946586,137.62320000
-116.70898586,124.57650000
-116.68850586,120.22770000
-116.66802586,124.57650000
-116.64754586,137.62320000
-116.62706586,150.65460000
-116.60658586,163.70130000
-116.58610586,172.39900000
-116.56562586,172.39900000
-116.54514586,163.70130000
-116.52466586,150.65460000
-116.50418586,137.62320000
-116.48370586,128.92540000
-116.46322586,120.22770000
-116.44274586,124.57650000
-116.42226586,133.27430000
