Time,Channel A
(ms),(mV)

-117.98555404,150.65460000
-117.96507404,137.62320000
-117.94459404,124.57650000
-117.92411404,120.22770000
-117.90363404,124.57650000
-117.88315404,137.62320000
-117.86267404,150.65460000
-117.84219404,163.70130000
-117.82171404,172.39900000
-117.80123404,172.39900000
-117.78075404,159.35240000
-117.76027404,150.65460000
-117.73979404,137.62320000
-117.71931404,124.57650000
-117.69883404,120.22770000
-117.67835404,124.57650000
-117.65787404,137.62320000
-117.63739404,146.30570000
-117.61691404,159.35240000
-117.59643404,168.05020000
-117.57595404,172.39900000
-117.55547404,163.70130000
-117.53499404,155.00350000
-117.51451404,137.62320000
-117.49403404,128.92540000
-117.47355404,120.22770000
-117.45307404,120.22770000
-117.43259404,133.27430000
-117.41211404,146.30570000
-117.39163404,159.35240000
-117.37115404,172.39900000
-117.35067404,172.39900000
-117.33019404,168.05020000
-117.30971404,155.00350000
-117.28923404,137.62320000
-117.26875404,128.92540000
-117.24827404,120.22770000
-117.22779404,124.57650000
-117.20731404,128.92540000
-117.18683404,141.95680000
-117.16635404,159.35240000
-117.14587404,168.05020000
-117.12539404,172.39900000
-117.10491404,168.05020000
-117.08443404,159.35240000
-117.06395405,146.30570000
-117.04347405,133.27430000
-117.02299405,124.57650000
-117.00251405,120.22770000
-116.98203405,124.57650000
-116.96155405,137.62320000
-116.94107405,150.65460000
-116.92059405,163.70130000
-116.90011405,168.05020000
-116.87963405,172.39900000
-116.85915405,163.70130000
-116.83867405,150.65460000
-116.81819405,137.62320000
-116.79771405,124.57650000
-116.77723405,120.22770000
-116.75675405,124.57650000
-116.73627405,133.27430000
-116.71579405,146.30570000
-116.69531405,155.00350000
-116.67483405,168.05020000
-116.65435405,172.39900000
-116.63387405,168.05020000
-116.61339405,159.35240000
-116.59291405,146.30570000
-116.57243405,133.27430000
-116.55195405,124.57650000
-116.53147405,120.22770000
-116.51099405,124.57650000
-116.49051405,137.62320000
-116.47003405,150.65460000
-116.44955405,163.70130000
-116.42907405,172.39900000
-116.40859405,172.39900000
