Time,Channel A
(ms),(mV)

-117.98635125,155.00350000
-117.96587125,172.39900000
-117.94539125,176.74790000
-117.92491125,172.39900000
-117.90443125,159.35240000
-117.88395125,146.30570000
-117.86347125,128.92540000
-117.84299125,120.22770000
-117.82251125,124.57650000
-117.80203125,137.62320000
-117.78155125,150.65460000
-117.76107125,168.05020000
-117.74059125,176.74790000
-117.72011125,176.74790000
-117.69963125,163.70130000
-117.67915125,150.65460000
-117.65867125,137.62320000
-117.63819125,124.57650000
-117.61771125,124.57650000
-117.59723125,128.92540000
-117.57675125,146.30570000
-117.55627125,163.70130000
-117.53579125,172.39900000
-117.51531125,176.74790000
-117.49483125,172.39900000
-117.47435125,155.00350000
-117.45387125,137.62320000
-117.43339125,128.92540000
-117.41291126,124.57650000
-117.39243126,128.92540000
-117.37195126,137.62320000
-117.35147126,155.00350000
-117.33099126,168.05020000
-117.31051126,176.74790000
-117.29003126,172.39900000
-117.26955126,163.70130000
-117.24907126,150.65460000
-117.22859126,133.27430000
-117.20811126,124.57650000
-117.18763126,124.57650000
-117.16715126,133.27430000
-117.14667126,146.30570000
-117.12619126,163.70130000
-117.10571126,172.39900000
-117.08523126,176.74790000
-117.06475126,172.39900000
-117.04427126,159.35240000
-117.02379126,137.62320000
-117.00331126,128.92540000
-116.98283126,120.22770000
-116.96235126,124.57650000
-116.94187126,137.62320000
-116.92139126,155.00350000
-116.90091126,168.05020000
-116.88043126,176.74790000
-116.85995126,172.39900000
-116.83947126,168.05020000
-116.81899126,150.65460000
-116.79851126,137.62320000
-116.77803126,124.57650000
-116.75755126,124.57650000
-116.73707126,133.27430000
-116.71659126,141.95680000
-116.69611126,159.35240000
-116.67563126,172.39900000
-116.65515126,176.74790000
-116.63467126,172.39900000
-116.61419126,159.35240000
-116.59371126,146.30570000
-116.57323126,133.27430000
-116.55275126,120.22770000
-116.53227126,120.22770000
-116.51179126,133.27430000
-116.49131126,146.30570000
-116.47083126,163.70130000
-116.45035126,172.39900000
-116.42987126,176.74790000
-116.40939126,172.39900000
